,,"Deaths per 1 000 live births","Deaths per 1 000 live births","Deaths per 1 000 live births"
,,"Cabo Verde","Cabo Verde","Cabo Verde"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0","0.2","0.2"
"HIV/AIDS","2014","0","0.2","0.2"
"HIV/AIDS","2013","0","0.2","0.2"
"HIV/AIDS","2012","0","0.3","0.3"
"HIV/AIDS","2011","0","0.3","0.3"
"HIV/AIDS","2010","0","0.4","0.4"
"HIV/AIDS","2009","0","0.4","0.4"
"HIV/AIDS","2008","0","0.4","0.4"
"HIV/AIDS","2007","0","0.6","0.6"
"HIV/AIDS","2006","0","0.6","0.6"
"HIV/AIDS","2005","0","0.8","0.8"
"HIV/AIDS","2004","0","0.8","0.8"
"HIV/AIDS","2003","0","0.9","0.9"
"HIV/AIDS","2002","0","0.8","0.8"
"HIV/AIDS","2001","0","0.8","0.8"
"HIV/AIDS","2000","0","0.8","0.8"
"Diarrhoeal diseases","2015","0","1.3","1.3"
"Diarrhoeal diseases","2014","0","1.3","1.3"
"Diarrhoeal diseases","2013","0","1.4","1.4"
"Diarrhoeal diseases","2012","0","1.4","1.4"
"Diarrhoeal diseases","2011","0","1.5","1.5"
"Diarrhoeal diseases","2010","0","1.6","1.6"
"Diarrhoeal diseases","2009","0","1.6","1.6"
"Diarrhoeal diseases","2008","0","1.6","1.6"
"Diarrhoeal diseases","2007","0","1.7","1.7"
"Diarrhoeal diseases","2006","0","1.8","1.8"
"Diarrhoeal diseases","2005","0","1.9","1.9"
"Diarrhoeal diseases","2004","0","2.1","2.1"
"Diarrhoeal diseases","2003","0","2.3","2.3"
"Diarrhoeal diseases","2002","0","2.6","2.6"
"Diarrhoeal diseases","2001","0","2.9","2.9"
"Diarrhoeal diseases","2000","0","3.5","3.5"
"Pertussis","2015","0","0.2","0.2"
"Pertussis","2014","0","0.2","0.2"
"Pertussis","2013","0","0.2","0.2"
"Pertussis","2012","0","0.2","0.2"
"Pertussis","2011","0","0.2","0.2"
"Pertussis","2010","0","0.2","0.2"
"Pertussis","2009","0","0.2","0.2"
"Pertussis","2008","0","0.2","0.2"
"Pertussis","2007","0","0.2","0.2"
"Pertussis","2006","0","0.1","0.1"
"Pertussis","2005","0","0.2","0.2"
"Pertussis","2004","0","0.1","0.1"
"Pertussis","2003","0","0.1","0.1"
"Pertussis","2002","0","0.1","0.1"
"Pertussis","2001","0","0.1","0.1"
"Pertussis","2000","0","0.1","0.1"
"Tetanus","2015","0.1","0","0.1"
"Tetanus","2014","0.1","0","0.1"
"Tetanus","2013","0.1","0","0.1"
"Tetanus","2012","0.1","0","0.1"
"Tetanus","2011","0.1","0","0.1"
"Tetanus","2010","0.1","0","0.1"
"Tetanus","2009","0.2","0","0.2"
"Tetanus","2008","0.2","0","0.2"
"Tetanus","2007","0.2","0","0.2"
"Tetanus","2006","0.3","0","0.3"
"Tetanus","2005","0.3","0","0.3"
"Tetanus","2004","0.2","0","0.2"
"Tetanus","2003","0.3","0","0.3"
"Tetanus","2002","0.4","0","0.4"
"Tetanus","2001","0.8","0","0.8"
"Tetanus","2000","0.5","0","0.5"
"Measles","2015","0","0","0"
"Measles","2014","0","0","0"
"Measles","2013","0","0.2","0.2"
"Measles","2012","0","0.2","0.2"
"Measles","2011","0","0.2","0.2"
"Measles","2010","0","0.2","0.2"
"Measles","2009","0","0.7","0.7"
"Measles","2008","0","0.7","0.7"
"Measles","2007","0","0.6","0.6"
"Measles","2006","0","0.6","0.6"
"Measles","2005","0","2.3","2.3"
"Measles","2004","0","2.2","2.2"
"Measles","2003","0","2.2","2.2"
"Measles","2002","0","2.1","2.1"
"Measles","2001","0","2.1","2.1"
"Measles","2000","0","2.3","2.3"
"Meningitis/encephalitis","2015","0","0.3","0.3"
"Meningitis/encephalitis","2014","0","0.3","0.3"
"Meningitis/encephalitis","2013","0","0.4","0.4"
"Meningitis/encephalitis","2012","0","0.4","0.4"
"Meningitis/encephalitis","2011","0","0.4","0.4"
"Meningitis/encephalitis","2010","0","0.3","0.3"
"Meningitis/encephalitis","2009","0","0.3","0.3"
"Meningitis/encephalitis","2008","0","0.3","0.3"
"Meningitis/encephalitis","2007","0","0.3","0.3"
"Meningitis/encephalitis","2006","0","0.3","0.3"
"Meningitis/encephalitis","2005","0","0.3","0.3"
"Meningitis/encephalitis","2004","0","0.3","0.3"
"Meningitis/encephalitis","2003","0","0.3","0.3"
"Meningitis/encephalitis","2002","0","0.4","0.4"
"Meningitis/encephalitis","2001","0","0.4","0.4"
"Meningitis/encephalitis","2000","0","0.5","0.5"
"Malaria","2015","0","0","0"
"Malaria","2014","0","0","0"
"Malaria","2013","0","0","0"
"Malaria","2012","0","0","0"
"Malaria","2011","0","0.1","0.1"
"Malaria","2010","0","0","0"
"Malaria","2009","0","0.1","0.1"
"Malaria","2008","0","0.1","0.1"
"Malaria","2007","0","0.1","0.1"
"Malaria","2006","0","0.3","0.3"
"Malaria","2005","0","0.1","0.1"
"Malaria","2004","0","0.1","0.1"
"Malaria","2003","0","0.1","0.1"
"Malaria","2002","0","0","0"
"Malaria","2001","0","0","0"
"Malaria","2000","0","0","0"
"Acute lower respiratory infections","2015","0.7","2.7","3.4"
"Acute lower respiratory infections","2014","0.7","2.8","3.5"
"Acute lower respiratory infections","2013","0.7","2.9","3.6"
"Acute lower respiratory infections","2012","0.7","3","3.7"
"Acute lower respiratory infections","2011","0.8","3.1","3.8"
"Acute lower respiratory infections","2010","0.8","3.5","4.3"
"Acute lower respiratory infections","2009","0.8","3.6","4.4"
"Acute lower respiratory infections","2008","0.8","3.7","4.5"
"Acute lower respiratory infections","2007","0.7","3.8","4.5"
"Acute lower respiratory infections","2006","0.7","3.8","4.5"
"Acute lower respiratory infections","2005","0.7","3.8","4.4"
"Acute lower respiratory infections","2004","0.7","3.7","4.4"
"Acute lower respiratory infections","2003","0.6","3.8","4.5"
"Acute lower respiratory infections","2002","0.7","4.1","4.8"
"Acute lower respiratory infections","2001","0.7","4.5","5.2"
"Acute lower respiratory infections","2000","0.8","5.2","6"
"Prematurity","2015","4.7","0.4","5.1"
"Prematurity","2014","4.9","0.4","5.3"
"Prematurity","2013","5","0.4","5.4"
"Prematurity","2012","5.2","0.4","5.6"
"Prematurity","2011","5.4","0.3","5.8"
"Prematurity","2010","5.5","0.2","5.7"
"Prematurity","2009","5.5","0.2","5.8"
"Prematurity","2008","5.5","0.2","5.7"
"Prematurity","2007","5.4","0.2","5.6"
"Prematurity","2006","5.3","0.2","5.5"
"Prematurity","2005","5.2","0.2","5.4"
"Prematurity","2004","5.1","0.2","5.3"
"Prematurity","2003","5.1","0.2","5.3"
"Prematurity","2002","5.4","0.2","5.6"
"Prematurity","2001","5.8","0.2","6"
"Prematurity","2000","6.5","0.2","6.7"
"Birth asphyxia and birth trauma","2015","2","0.1","2.1"
"Birth asphyxia and birth trauma","2014","2","0.1","2.2"
"Birth asphyxia and birth trauma","2013","2.1","0.1","2.2"
"Birth asphyxia and birth trauma","2012","2.2","0.1","2.3"
"Birth asphyxia and birth trauma","2011","2.3","0.1","2.4"
"Birth asphyxia and birth trauma","2010","2.4","0.1","2.4"
"Birth asphyxia and birth trauma","2009","2.4","0.1","2.5"
"Birth asphyxia and birth trauma","2008","2.4","0.1","2.5"
"Birth asphyxia and birth trauma","2007","2.4","0.1","2.5"
"Birth asphyxia and birth trauma","2006","2.4","0.1","2.5"
"Birth asphyxia and birth trauma","2005","2.4","0.1","2.5"
"Birth asphyxia and birth trauma","2004","2.4","0.1","2.5"
"Birth asphyxia and birth trauma","2003","2.5","0.1","2.5"
"Birth asphyxia and birth trauma","2002","2.6","0.1","2.6"
"Birth asphyxia and birth trauma","2001","2.8","0.1","2.9"
"Birth asphyxia and birth trauma","2000","3.1","0.1","3.2"
"Sepsis and other infectious conditions of the newborn","2015","1.1","0","1.1"
"Sepsis and other infectious conditions of the newborn","2014","1.1","0","1.1"
