,,"Deaths per 1 000 live births","Deaths per 1 000 live births","Deaths per 1 000 live births"
,,"Mali","Mali","Mali"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0","1.5","1.5"
"HIV/AIDS","2014","0","1.6","1.6"
"HIV/AIDS","2013","0","1.5","1.6"
"HIV/AIDS","2012","0","1.5","1.5"
"HIV/AIDS","2011","0","1.5","1.5"
"HIV/AIDS","2010","0","1.5","1.5"
"HIV/AIDS","2009","0","1.5","1.6"
"HIV/AIDS","2008","0","1.6","1.6"
"HIV/AIDS","2007","0","1.7","1.7"
"HIV/AIDS","2006","0","1.8","1.8"
"HIV/AIDS","2005","0","1.9","1.9"
"HIV/AIDS","2004","0","2","2"
"HIV/AIDS","2003","0","2.1","2.2"
"HIV/AIDS","2002","0","2.3","2.3"
"HIV/AIDS","2001","0","2.4","2.4"
"HIV/AIDS","2000","0","2.5","2.5"
"Diarrhoeal diseases","2015","0.3","10.5","10.8"
"Diarrhoeal diseases","2014","0.3","11.4","11.7"
"Diarrhoeal diseases","2013","0.3","12.7","13"
"Diarrhoeal diseases","2012","0.3","14","14.2"
"Diarrhoeal diseases","2011","0.3","15.6","15.9"
"Diarrhoeal diseases","2010","0.3","16.4","16.7"
"Diarrhoeal diseases","2009","0.3","17.9","18.2"
"Diarrhoeal diseases","2008","0.3","18.8","19.1"
"Diarrhoeal diseases","2007","0.4","19.6","19.9"
"Diarrhoeal diseases","2006","0.4","19.6","20"
"Diarrhoeal diseases","2005","0.4","20.6","21"
"Diarrhoeal diseases","2004","0.5","22.5","22.9"
"Diarrhoeal diseases","2003","0.5","25.1","25.6"
"Diarrhoeal diseases","2002","0.5","28.6","29.2"
"Diarrhoeal diseases","2001","0.6","31.5","32.1"
"Diarrhoeal diseases","2000","0.6","34","34.5"
"Pertussis","2015","0","0.9","0.9"
"Pertussis","2014","0","0.9","1"
"Pertussis","2013","0","1","1"
"Pertussis","2012","0","1","1.1"
"Pertussis","2011","0","1","1.1"
"Pertussis","2010","0","1","1"
"Pertussis","2009","0","1","1"
"Pertussis","2008","0","1","1"
"Pertussis","2007","0","1","1"
"Pertussis","2006","0","1","1"
"Pertussis","2005","0","1","1"
"Pertussis","2004","0","1","1.1"
"Pertussis","2003","0","1.1","1.1"
"Pertussis","2002","0","1.1","1.1"
"Pertussis","2001","0.1","1.1","1.2"
"Pertussis","2000","0.1","1.1","1.2"
"Tetanus","2015","0.6","0","0.6"
"Tetanus","2014","0.6","0","0.6"
"Tetanus","2013","0.6","0","0.6"
"Tetanus","2012","0.7","0","0.7"
"Tetanus","2011","0.7","0","0.7"
"Tetanus","2010","0.8","0","0.8"
"Tetanus","2009","0.8","0","0.8"
"Tetanus","2008","0.9","0","0.9"
"Tetanus","2007","1","0","1"
"Tetanus","2006","1.1","0","1.1"
"Tetanus","2005","1.4","0","1.4"
"Tetanus","2004","1.8","0","1.9"
"Tetanus","2003","2.5","0","2.5"
"Tetanus","2002","3.1","0","3.1"
"Tetanus","2001","3.9","0","3.9"
"Tetanus","2000","4.7","0","4.7"
"Measles","2015","0","0.6","0.6"
"Measles","2014","0","1.3","1.3"
"Measles","2013","0","1","1"
"Measles","2012","0","0.7","0.7"
"Measles","2011","0","2.1","2.1"
"Measles","2010","0","4","4"
"Measles","2009","0","5.1","5.1"
"Measles","2008","0","0.4","0.4"
"Measles","2007","0","1","1"
"Measles","2006","0","0.8","0.8"
"Measles","2005","0","0.2","0.2"
"Measles","2004","0","1.6","1.6"
"Measles","2003","0","1.1","1.1"
"Measles","2002","0","0.1","0.1"
"Measles","2001","0","13.2","13.2"
"Measles","2000","0","6.7","6.7"
"Meningitis/encephalitis","2015","0","2.3","2.3"
"Meningitis/encephalitis","2014","0","2.4","2.4"
"Meningitis/encephalitis","2013","0","2.8","2.8"
"Meningitis/encephalitis","2012","0","3.6","3.6"
"Meningitis/encephalitis","2011","0","2.8","2.8"
"Meningitis/encephalitis","2010","0","3.5","3.5"
"Meningitis/encephalitis","2009","0","3.7","3.7"
"Meningitis/encephalitis","2008","0","5.6","5.6"
"Meningitis/encephalitis","2007","0","4.3","4.3"
"Meningitis/encephalitis","2006","0","7.1","7.1"
"Meningitis/encephalitis","2005","0","7.5","7.5"
"Meningitis/encephalitis","2004","0","7.9","7.9"
"Meningitis/encephalitis","2003","0","8.4","8.4"
"Meningitis/encephalitis","2002","0","6","6"
"Meningitis/encephalitis","2001","0","6.3","6.3"
"Meningitis/encephalitis","2000","0","6.5","6.5"
"Malaria","2015","0","26.8","26.8"
"Malaria","2014","0","27.1","27.1"
"Malaria","2013","0","26.7","26.7"
"Malaria","2012","0","25.4","25.4"
"Malaria","2011","0","24","24"
"Malaria","2010","0","22.2","22.2"
"Malaria","2009","0","22.8","22.8"
"Malaria","2008","0","25","25"
"Malaria","2007","0","29.3","29.3"
"Malaria","2006","0","33.3","33.3"
"Malaria","2005","0","38.2","38.2"
"Malaria","2004","0","42.5","42.5"
"Malaria","2003","0","45.6","45.6"
"Malaria","2002","0","48.8","48.8"
"Malaria","2001","0","50.1","50.1"
"Malaria","2000","0","51.1","51.1"
"Acute lower respiratory infections","2015","2.6","12.2","14.8"
"Acute lower respiratory infections","2014","2.6","12.8","15.4"
"Acute lower respiratory infections","2013","2.7","13.9","16.6"
"Acute lower respiratory infections","2012","2.8","15","17.8"
"Acute lower respiratory infections","2011","2.9","17.1","20"
"Acute lower respiratory infections","2010","2.9","20.2","23.1"
"Acute lower respiratory infections","2009","3","21","24.1"
"Acute lower respiratory infections","2008","3.1","21.1","24.2"
"Acute lower respiratory infections","2007","3.2","23","26.1"
"Acute lower respiratory infections","2006","3.3","23.6","26.9"
"Acute lower respiratory infections","2005","3.4","24.3","27.7"
"Acute lower respiratory infections","2004","3.5","25.4","28.9"
"Acute lower respiratory infections","2003","3.6","26.9","30.4"
"Acute lower respiratory infections","2002","3.6","29.1","32.7"
"Acute lower respiratory infections","2001","3.7","30.4","34.2"
"Acute lower respiratory infections","2000","3.8","31.2","35.1"
"Prematurity","2015","10.9","1.8","12.6"
"Prematurity","2014","11","1.8","12.9"
"Prematurity","2013","11.2","1.9","13.1"
"Prematurity","2012","11.3","2","13.3"
"Prematurity","2011","11.4","2.1","13.6"
"Prematurity","2010","11.6","2.2","13.8"
"Prematurity","2009","11.7","2.2","14"
"Prematurity","2008","11.9","2.2","14.2"
"Prematurity","2007","12.3","2.2","14.5"
"Prematurity","2006","12.7","2.1","14.8"
"Prematurity","2005","13.4","2.1","15.5"
"Prematurity","2004","14.3","2.2","16.5"
"Prematurity","2003","15.4","2.3","17.7"
"Prematurity","2002","16.5","2.5","18.9"
"Prematurity","2001","17.4","2.6","20"
"Prematurity","2000","18.2","2.6","20.8"
"Birth asphyxia and birth trauma","2015","10.9","1","11.9"
"Birth asphyxia and birth trauma","2014","11.2","1","12.2"
"Birth asphyxia and birth trauma","2013","11.5","1.1","12.5"
"Birth asphyxia and birth trauma","2012","11.8","1.1","12.9"
"Birth asphyxia and birth trauma","2011","12.1","1.2","13.3"
"Birth asphyxia and birth trauma","2010","12.4","1.2","13.6"
"Birth asphyxia and birth trauma","2009","12.7","1.2","13.9"
"Birth asphyxia and birth trauma","2008","13","1.2","14.2"
"Birth asphyxia and birth trauma","2007","13.3","1.2","14.5"
"Birth asphyxia and birth trauma","2006","13.6","1.2","14.8"
"Birth asphyxia and birth trauma","2005","13.9","1.1","15.1"
"Birth asphyxia and birth trauma","2004","14.2","1.2","15.3"
"Birth asphyxia and birth trauma","2003","14.2","1.2","15.4"
"Birth asphyxia and birth trauma","2002","14.3","1.3","15.6"
"Birth asphyxia and birth trauma","2001","14.5","1.4","15.9"
"Birth asphyxia and birth trauma","2000","14.9","1.4","16.4"
"Sepsis and other infectious conditions of the newborn","2015","8.4","0","8.4"
"Sepsis and other infectious conditions of the newborn","2014","8.6","0","8.6"
"Sepsis and other infectious conditions of the newborn","2013","8.8","0","8.8"
"Sepsis and other infectious conditions of the newborn","2012","9","0","9"
"Sepsis and other infectious conditions of the newborn","2011","9.3","0","9.3"
"Sepsis and other infectious conditions of the newborn","2010","9.5","0","9.5"
"Sepsis and other infectious conditions of the newborn","2009","9.8","0","9.8"
"Sepsis and other infectious conditions of the newborn","2008","10.1","0","10.1"
"Sepsis and other infectious conditions of the newborn","2007","10.3","0","10.3"
"Sepsis and other infectious conditions of the newborn","2006","10.5","0","10.5"
"Sepsis and other infectious conditions of the newborn","2005","10.3","0","10.3"
"Sepsis and other infectious conditions of the newborn","2004","10","0","10"
"Sepsis and other infectious conditions of the newborn","2003","9.4","0","9.4"
"Sepsis and other infectious conditions of the newborn","2002","9","0","9"
"Sepsis and other infectious conditions of the newborn","2001","8.8","0","8.8"
"Sepsis and other infectious conditions of the newborn","2000","8.7","0","8.7"
"Other communicable, perinatal and nutritional conditions","2015","1.8","8.3","10.1"
"Other communicable, perinatal and nutritional conditions","2014","1.8","8.6","10.4"
"Other communicable, perinatal and nutritional conditions","2013","1.9","9","10.8"
"Other communicable, perinatal and nutritional conditions","2012","1.9","9.4","11.3"
"Other communicable, perinatal and nutritional conditions","2011","1.9","10.1","12"
"Other communicable, perinatal and nutritional conditions","2010","2","10.1","12.1"
"Other communicable, perinatal and nutritional conditions","2009","2","10.5","12.6"
"Other communicable, perinatal and nutritional conditions","2008","2.1","10.5","12.6"
"Other communicable, perinatal and nutritional conditions","2007","2.1","10.4","12.5"
"Other communicable, perinatal and nutritional conditions","2006","2.1","9.8","12"
"Other communicable, perinatal and nutritional conditions","2005","2.1","9.7","11.8"
"Other communicable, perinatal and nutritional conditions","2004","2.1","10","12.1"
"Other communicable, perinatal and nutritional conditions","2003","2","10.5","12.5"
"Other communicable, perinatal and nutritional conditions","2002","2","11.3","13.4"
"Other communicable, perinatal and nutritional conditions","2001","2","11.8","13.8"
"Other communicable, perinatal and nutritional conditions","2000","2","12.1","14.1"
"Congenital anomalies","2015","2","2.4","4.4"
"Congenital anomalies","2014","2","2.5","4.5"
"Congenital anomalies","2013","2","2.5","4.5"
"Congenital anomalies","2012","2","2.7","4.7"
"Congenital anomalies","2011","2","2.8","4.8"
