,,"Deaths per 1 000 live births","Deaths per 1 000 live births","Deaths per 1 000 live births"
,,"Guinea-Bissau","Guinea-Bissau","Guinea-Bissau"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0","3.2","3.2"
"HIV/AIDS","2014","0","3.3","3.4"
"HIV/AIDS","2013","0","4.4","4.5"
"HIV/AIDS","2012","0.1","5.2","5.3"
"HIV/AIDS","2011","0.1","5.7","5.7"
"HIV/AIDS","2010","0.1","5.8","5.9"
"HIV/AIDS","2009","0.1","5.9","6"
"HIV/AIDS","2008","0.1","5.9","6"
"HIV/AIDS","2007","0.1","5.7","5.7"
"HIV/AIDS","2006","0.1","5.5","5.6"
"HIV/AIDS","2005","0.1","5.3","5.4"
"HIV/AIDS","2004","0.1","5","5"
"HIV/AIDS","2003","0","4.5","4.6"
"HIV/AIDS","2002","0","4.1","4.1"
"HIV/AIDS","2001","0","3.6","3.6"
"HIV/AIDS","2000","0","3.1","3.1"
"Diarrhoeal diseases","2015","0.2","8.4","8.6"
"Diarrhoeal diseases","2014","0.2","9.2","9.4"
"Diarrhoeal diseases","2013","0.2","9.9","10.2"
"Diarrhoeal diseases","2012","0.2","10.9","11.1"
"Diarrhoeal diseases","2011","0.3","12","12.2"
"Diarrhoeal diseases","2010","0.3","13.2","13.5"
"Diarrhoeal diseases","2009","0.3","14.7","15"
"Diarrhoeal diseases","2008","0.3","14.9","15.2"
"Diarrhoeal diseases","2007","0.4","16.5","16.9"
"Diarrhoeal diseases","2006","0.4","18.2","18.6"
"Diarrhoeal diseases","2005","0.5","19.9","20.3"
"Diarrhoeal diseases","2004","0.5","21.5","22"
"Diarrhoeal diseases","2003","0.5","23","23.5"
"Diarrhoeal diseases","2002","0.5","24.1","24.7"
"Diarrhoeal diseases","2001","0.6","25","25.5"
"Diarrhoeal diseases","2000","0.6","25.5","26.1"
"Pertussis","2015","0","0.8","0.8"
"Pertussis","2014","0","0.8","0.8"
"Pertussis","2013","0","0.9","0.9"
"Pertussis","2012","0","0.9","1"
"Pertussis","2011","0","0.9","1"
"Pertussis","2010","0.1","1","1"
"Pertussis","2009","0.1","1","1"
"Pertussis","2008","0.1","1","1.1"
"Pertussis","2007","0.1","1","1.1"
"Pertussis","2006","0.1","1.1","1.1"
"Pertussis","2005","0.1","1","1.1"
"Pertussis","2004","0.1","1.1","1.1"
"Pertussis","2003","0.1","1.1","1.1"
"Pertussis","2002","0.1","1.1","1.2"
"Pertussis","2001","0.1","1.1","1.2"
"Pertussis","2000","0.1","1.1","1.2"
"Tetanus","2015","0.8","0","0.8"
"Tetanus","2014","0.8","0","0.8"
"Tetanus","2013","0.9","0","0.9"
"Tetanus","2012","1","0","1"
"Tetanus","2011","1.1","0","1.1"
"Tetanus","2010","1.2","0","1.2"
"Tetanus","2009","1.2","0","1.2"
"Tetanus","2008","1.3","0","1.3"
"Tetanus","2007","1.5","0","1.5"
"Tetanus","2006","2","0","2"
"Tetanus","2005","2.3","0","2.4"
"Tetanus","2004","2.7","0","2.7"
