,,"Deaths per 1 000 live births","Deaths per 1 000 live births","Deaths per 1 000 live births"
,,"Senegal","Senegal","Senegal"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0","0.3","0.3"
"HIV/AIDS","2014","0","0.3","0.3"
"HIV/AIDS","2013","0","0.3","0.3"
"HIV/AIDS","2012","0","0.4","0.4"
"HIV/AIDS","2011","0","0.4","0.4"
"HIV/AIDS","2010","0","0.4","0.4"
"HIV/AIDS","2009","0","0.5","0.5"
"HIV/AIDS","2008","0","0.6","0.6"
"HIV/AIDS","2007","0","0.7","0.7"
"HIV/AIDS","2006","0","0.7","0.7"
"HIV/AIDS","2005","0","0.7","0.7"
"HIV/AIDS","2004","0","0.7","0.7"
"HIV/AIDS","2003","0","0.7","0.7"
"HIV/AIDS","2002","0","0.7","0.7"
"HIV/AIDS","2001","0","0.6","0.6"
"HIV/AIDS","2000","0","0.5","0.5"
"Diarrhoeal diseases","2015","0.1","4.1","4.1"
"Diarrhoeal diseases","2014","0.1","4.5","4.6"
"Diarrhoeal diseases","2013","0.1","4.6","4.7"
"Diarrhoeal diseases","2012","0.1","5.1","5.2"
"Diarrhoeal diseases","2011","0.1","5.8","5.9"
"Diarrhoeal diseases","2010","0.1","6.6","6.7"
"Diarrhoeal diseases","2009","0.1","7.6","7.7"
"Diarrhoeal diseases","2008","0.1","8.7","8.8"
"Diarrhoeal diseases","2007","0.2","10","10.1"
"Diarrhoeal diseases","2006","0.2","11.3","11.5"
"Diarrhoeal diseases","2005","0.2","11.9","12.1"
"Diarrhoeal diseases","2004","0.2","13.3","13.6"
"Diarrhoeal diseases","2003","0.2","15.2","15.4"
"Diarrhoeal diseases","2002","0.3","17.1","17.4"
"Diarrhoeal diseases","2001","0.3","19","19.3"
"Diarrhoeal diseases","2000","0.3","20.2","20.5"
"Pertussis","2015","0","0.8","0.8"
"Pertussis","2014","0","0.8","0.9"
"Pertussis","2013","0","0.9","0.9"
"Pertussis","2012","0","0.9","1"
"Pertussis","2011","0","1","1"
"Pertussis","2010","0","1","1"
"Pertussis","2009","0","1","1"
"Pertussis","2008","0","1","1"
"Pertussis","2007","0","1","1"
"Pertussis","2006","0","1","1.1"
"Pertussis","2005","0","1","1.1"
"Pertussis","2004","0","1","1.1"
"Pertussis","2003","0.1","1.1","1.2"
"Pertussis","2002","0.1","1.2","1.2"
"Pertussis","2001","0.1","1.2","1.2"
"Pertussis","2000","0.1","1.2","1.2"
"Tetanus","2015","0.1","0","0.1"
"Tetanus","2014","0.1","0","0.1"
"Tetanus","2013","0.1","0","0.1"
"Tetanus","2012","0.1","0","0.1"
"Tetanus","2011","0.1","0","0.1"
"Tetanus","2010","0.2","0","0.2"
"Tetanus","2009","0.2","0","0.2"
"Tetanus","2008","0.2","0","0.2"
"Tetanus","2007","0.2","0","0.2"
"Tetanus","2006","0.3","0","0.3"
"Tetanus","2005","0.4","0","0.4"
"Tetanus","2004","0.4","0","0.4"
"Tetanus","2003","0.5","0","0.6"
"Tetanus","2002","0.7","0","0.7"
"Tetanus","2001","0.8","0","0.8"
"Tetanus","2000","0.9","0","0.9"
"Measles","2015","0","0.3","0.3"
"Measles","2014","0","0","0"
