,,"Deaths per 1 000 live births","Deaths per 1 000 live births","Deaths per 1 000 live births"
,,"Ghana","Ghana","Ghana"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0","0.7","0.7"
"HIV/AIDS","2014","0","0.8","0.8"
"HIV/AIDS","2013","0","0.9","0.9"
"HIV/AIDS","2012","0","0.9","0.9"
"HIV/AIDS","2011","0","1.3","1.3"
"HIV/AIDS","2010","0","1.9","1.9"
"HIV/AIDS","2009","0","2.1","2.1"
"HIV/AIDS","2008","0","2.2","2.2"
"HIV/AIDS","2007","0","2.5","2.6"
"HIV/AIDS","2006","0","2.9","2.9"
"HIV/AIDS","2005","0","3","3.1"
"HIV/AIDS","2004","0","3.2","3.2"
"HIV/AIDS","2003","0","3.3","3.4"
"HIV/AIDS","2002","0","3.4","3.5"
"HIV/AIDS","2001","0","3.5","3.5"
"HIV/AIDS","2000","0","3.5","3.6"
"Diarrhoeal diseases","2015","0.1","4","4.1"
"Diarrhoeal diseases","2014","0.1","4.2","4.3"
"Diarrhoeal diseases","2013","0.1","4.4","4.6"
"Diarrhoeal diseases","2012","0.1","4.7","4.8"
"Diarrhoeal diseases","2011","0.1","5.1","5.3"
"Diarrhoeal diseases","2010","0.1","5.5","5.6"
"Diarrhoeal diseases","2009","0.2","5.9","6.1"
"Diarrhoeal diseases","2008","0.2","6.3","6.5"
"Diarrhoeal diseases","2007","0.2","6.9","7"
"Diarrhoeal diseases","2006","0.2","7.1","7.3"
"Diarrhoeal diseases","2005","0.2","7.3","7.4"
"Diarrhoeal diseases","2004","0.2","7.4","7.6"
"Diarrhoeal diseases","2003","0.2","7.6","7.8"
"Diarrhoeal diseases","2002","0.2","7.9","8.2"
"Diarrhoeal diseases","2001","0.2","7.8","8"
"Diarrhoeal diseases","2000","0.2","8","8.3"
"Pertussis","2015","0","0.8","0.8"
"Pertussis","2014","0","0.8","0.9"
"Pertussis","2013","0","0.9","0.9"
"Pertussis","2012","0","0.9","0.9"
"Pertussis","2011","0","0.9","1"
"Pertussis","2010","0","0.9","1"
"Pertussis","2009","0","1","1"
"Pertussis","2008","0","1","1"
"Pertussis","2007","0","1","1"
"Pertussis","2006","0.1","1","1.1"
"Pertussis","2005","0","1","1.1"
"Pertussis","2004","0.1","1","1.1"
"Pertussis","2003","0","1","1.1"
"Pertussis","2002","0.1","1","1.1"
"Pertussis","2001","0.1","1.1","1.1"
"Pertussis","2000","0","1","1.1"
"Tetanus","2015","0.2","0","0.2"
"Tetanus","2014","0.3","0","0.3"
"Tetanus","2013","0.3","0","0.3"
"Tetanus","2012","0.3","0","0.3"
"Tetanus","2011","0.3","0","0.3"
"Tetanus","2010","0.3","0","0.3"
"Tetanus","2009","0.4","0","0.4"
"Tetanus","2008","0.4","0","0.4"
"Tetanus","2007","0.4","0","0.4"
"Tetanus","2006","0.4","0","0.4"
"Tetanus","2005","0.4","0","0.4"
"Tetanus","2004","0.5","0","0.5"
"Tetanus","2003","0.5","0","0.5"
"Tetanus","2002","0.6","0","0.6"
"Tetanus","2001","0.7","0","0.7"
"Tetanus","2000","0.7","0","0.7"
"Measles","2015","0","0.1","0.1"
"Measles","2014","0","0","0"
"Measles","2013","0","0.4","0.4"
"Measles","2012","0","0.5","0.5"
"Measles","2011","0","0.2","0.2"
"Measles","2010","0","0.6","0.6"
"Measles","2009","0","0.5","0.5"
"Measles","2008","0","0.4","0.4"
"Measles","2007","0","0.3","0.3"
"Measles","2006","0","0.8","0.8"
"Measles","2005","0","0.6","0.6"
"Measles","2004","0","0.3","0.3"
"Measles","2003","0","0.1","0.1"
"Measles","2002","0","6.2","6.2"
"Measles","2001","0","7.6","7.6"
"Measles","2000","0","12","12"
"Meningitis/encephalitis","2015","0","0.7","0.7"
"Meningitis/encephalitis","2014","0","0.7","0.7"
"Meningitis/encephalitis","2013","0","0.8","0.8"
"Meningitis/encephalitis","2012","0","1.3","1.3"
"Meningitis/encephalitis","2011","0","1","1"
"Meningitis/encephalitis","2010","0","1.1","1.1"
"Meningitis/encephalitis","2009","0","1.1","1.1"
"Meningitis/encephalitis","2008","0","1.8","1.8"
"Meningitis/encephalitis","2007","0","1.2","1.2"
"Meningitis/encephalitis","2006","0","1.3","1.3"
"Meningitis/encephalitis","2005","0","2","2"
"Meningitis/encephalitis","2004","0","2","2"
"Meningitis/encephalitis","2003","0","2","2"
"Meningitis/encephalitis","2002","0","1.3","1.3"
"Meningitis/encephalitis","2001","0","1.8","1.8"
"Meningitis/encephalitis","2000","0","1.8","1.8"
"Malaria","2015","0","6.9","6.9"
"Malaria","2014","0","7.9","7.9"
"Malaria","2013","0","8.9","8.9"
"Malaria","2012","0","9.8","9.8"
"Malaria","2011","0","10.9","10.9"
"Malaria","2010","0","11.9","11.9"
"Malaria","2009","0","12.4","12.4"
"Malaria","2008","0","12.6","12.6"
