,,"Deaths per 1 000 live births","Deaths per 1 000 live births","Deaths per 1 000 live births"
,,"Cote d'Ivoire","Cote d'Ivoire","Cote d'Ivoire"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0","1.9","1.9"
"HIV/AIDS","2014","0","2","2"
"HIV/AIDS","2013","0","2.4","2.4"
"HIV/AIDS","2012","0","2.9","2.9"
"HIV/AIDS","2011","0","3.2","3.3"
"HIV/AIDS","2010","0","3.3","3.3"
"HIV/AIDS","2009","0","3.6","3.7"
"HIV/AIDS","2008","0","4.1","4.1"
"HIV/AIDS","2007","0.1","5.2","5.3"
"HIV/AIDS","2006","0.1","5.7","5.8"
"HIV/AIDS","2005","0.1","6","6.1"
"HIV/AIDS","2004","0.1","6.4","6.5"
"HIV/AIDS","2003","0.1","6.6","6.7"
"HIV/AIDS","2002","0.1","6.8","6.9"
"HIV/AIDS","2001","0.1","6.9","7"
"HIV/AIDS","2000","0.1","7","7.1"
"Diarrhoeal diseases","2015","0.2","6.6","6.9"
"Diarrhoeal diseases","2014","0.2","7","7.2"
"Diarrhoeal diseases","2013","0.3","7.4","7.7"
"Diarrhoeal diseases","2012","0.3","7.6","7.9"
"Diarrhoeal diseases","2011","0.3","7.7","7.9"
"Diarrhoeal diseases","2010","0.3","7.7","8"
"Diarrhoeal diseases","2009","0.3","7.5","7.8"
"Diarrhoeal diseases","2008","0.3","7","7.3"
"Diarrhoeal diseases","2007","0.3","7.1","7.4"
"Diarrhoeal diseases","2006","0.4","7.1","7.4"
"Diarrhoeal diseases","2005","0.4","7.2","7.6"
"Diarrhoeal diseases","2004","0.4","7.5","7.9"
"Diarrhoeal diseases","2003","0.4","8","8.4"
"Diarrhoeal diseases","2002","0.4","8.5","8.9"
"Diarrhoeal diseases","2001","0.4","9.1","9.5"
"Diarrhoeal diseases","2000","0.5","9.7","10.1"
"Pertussis","2015","0","0.8","0.8"
"Pertussis","2014","0","0.8","0.9"
"Pertussis","2013","0","0.9","0.9"
"Pertussis","2012","0","0.9","0.9"
"Pertussis","2011","0","1","1.1"
"Pertussis","2010","0","0.9","0.9"
"Pertussis","2009","0","0.9","0.9"
"Pertussis","2008","0","0.9","1"
"Pertussis","2007","0","0.9","1"
"Pertussis","2006","0","0.9","1"
"Pertussis","2005","0","1","1"
"Pertussis","2004","0","1","1.1"
"Pertussis","2003","0","1","1.1"
"Pertussis","2002","0","1","1.1"
"Pertussis","2001","0","1","1.1"
"Pertussis","2000","0","1","1.1"
"Tetanus","2015","0.5","0","0.5"
"Tetanus","2014","0.6","0","0.6"
"Tetanus","2013","0.6","0","0.6"
"Tetanus","2012","0.7","0","0.7"
"Tetanus","2011","0.7","0","0.7"
"Tetanus","2010","0.7","0","0.7"
"Tetanus","2009","0.8","0","0.8"
"Tetanus","2008","0.8","0","0.9"
"Tetanus","2007","1","0","1"
"Tetanus","2006","1.2","0","1.2"
"Tetanus","2005","1.3","0","1.4"
"Tetanus","2004","1.5","0","1.5"
"Tetanus","2003","1.6","0","1.6"
"Tetanus","2002","1.7","0","1.7"
"Tetanus","2001","1.8","0","1.8"
"Tetanus","2000","2","0","2"
"Measles","2015","0","0.2","0.2"
"Measles","2014","0","0.5","0.5"
"Measles","2013","0","0.4","0.4"
"Measles","2012","0","0.3","0.3"
"Measles","2011","0","1.1","1.1"
"Measles","2010","0","0.6","0.6"
"Measles","2009","0","0.3","0.3"
"Measles","2008","0","0.5","0.5"
"Measles","2007","0","0.3","0.3"
"Measles","2006","0","0.1","0.1"
"Measles","2005","0","1.3","1.3"
"Measles","2004","0","3.7","3.7"
"Measles","2003","0","5.2","5.2"
"Measles","2002","0","6.2","6.2"
"Measles","2001","0","6.2","6.2"
"Measles","2000","0","6.2","6.2"
"Meningitis/encephalitis","2015","0","1.9","1.9"
"Meningitis/encephalitis","2014","0","2","2"
"Meningitis/encephalitis","2013","0","1.9","1.9"
"Meningitis/encephalitis","2012","0","2.3","2.3"
"Meningitis/encephalitis","2011","0","1.6","1.6"
"Meningitis/encephalitis","2010","0","1.4","1.4"
"Meningitis/encephalitis","2009","0","1.3","1.3"
"Meningitis/encephalitis","2008","0","2.7","2.7"
"Meningitis/encephalitis","2007","0","1.7","1.7"
"Meningitis/encephalitis","2006","0","2.5","2.5"
"Meningitis/encephalitis","2005","0","2.4","2.4"
"Meningitis/encephalitis","2004","0","2.4","2.4"
"Meningitis/encephalitis","2003","0","1.6","1.6"
"Meningitis/encephalitis","2002","0","1.7","1.7"
"Meningitis/encephalitis","2001","0","1.7","1.7"
"Meningitis/encephalitis","2000","0","1.7","1.7"
"Malaria","2015","0","15.2","15.2"
"Malaria","2014","0","16.5","16.5"
"Malaria","2013","0","18.5","18.5"
"Malaria","2012","0","20.7","20.7"
"Malaria","2011","0","24.1","24.1"
"Malaria","2010","0","28.3","28.3"
"Malaria","2009","0","32.4","32.4"
"Malaria","2008","0","34.8","34.8"
"Malaria","2007","0","39.2","39.2"
"Malaria","2006","0","41.9","41.9"
"Malaria","2005","0","44.4","44.4"
"Malaria","2004","0","46.3","46.3"
"Malaria","2003","0","47.8","47.8"
"Malaria","2002","0","48.2","48.2"
"Malaria","2001","0","48.1","48.1"
"Malaria","2000","0","47.4","47.4"
"Acute lower respiratory infections","2015","2.4","10.7","13.2"
"Acute lower respiratory infections","2014","2.5","10.9","13.4"
"Acute lower respiratory infections","2013","2.5","10.8","13.3"
"Acute lower respiratory infections","2012","2.6","10.6","13.2"
"Acute lower respiratory infections","2011","2.7","10.9","13.6"
"Acute lower respiratory infections","2010","2.7","9.9","12.6"
"Acute lower respiratory infections","2009","2.8","9.5","12.3"
"Acute lower respiratory infections","2008","2.8","10.4","13.3"
"Acute lower respiratory infections","2007","2.9","10.1","13"
"Acute lower respiratory infections","2006","3","9.6","12.7"
"Acute lower respiratory infections","2005","3.1","9.5","12.6"
"Acute lower respiratory infections","2004","3.2","9.4","12.7"
"Acute lower respiratory infections","2003","3.3","9.7","13"
"Acute lower respiratory infections","2002","3.3","10","13.3"
"Acute lower respiratory infections","2001","3.4","10.3","13.7"
"Acute lower respiratory infections","2000","3.4","10.5","14"
"Prematurity","2015","12","1.2","13.2"
"Prematurity","2014","12.2","1.3","13.4"
"Prematurity","2013","12.4","1.3","13.6"
"Prematurity","2012","12.6","1.3","13.8"
"Prematurity","2011","12.7","1.2","13.9"
"Prematurity","2010","12.8","1.2","14"
"Prematurity","2009","12.9","1.1","14"
"Prematurity","2008","13.3","1","14.2"
"Prematurity","2007","13.8","1","14.7"
"Prematurity","2006","14.2","0.9","15.1"
"Prematurity","2005","14.4","0.9","15.3"
"Prematurity","2004","14.6","0.9","15.4"
"Prematurity","2003","14.7","0.9","15.6"
"Prematurity","2002","14.9","0.9","15.8"
"Prematurity","2001","15","1","16"
"Prematurity","2000","15.3","1","16.2"
"Birth asphyxia and birth trauma","2015","10.4","0.7","11.1"
"Birth asphyxia and birth trauma","2014","10.6","0.7","11.3"
"Birth asphyxia and birth trauma","2013","10.9","0.7","11.6"
"Birth asphyxia and birth trauma","2012","11.2","0.7","11.9"
"Birth asphyxia and birth trauma","2011","11.5","0.6","12.1"
"Birth asphyxia and birth trauma","2010","11.7","0.6","12.3"
"Birth asphyxia and birth trauma","2009","11.9","0.6","12.5"
"Birth asphyxia and birth trauma","2008","12.2","0.5","12.7"
"Birth asphyxia and birth trauma","2007","12.5","0.5","13"
"Birth asphyxia and birth trauma","2006","12.9","0.5","13.4"
"Birth asphyxia and birth trauma","2005","13.3","0.5","13.8"
"Birth asphyxia and birth trauma","2004","13.8","0.5","14.2"
"Birth asphyxia and birth trauma","2003","14.1","0.5","14.5"
"Birth asphyxia and birth trauma","2002","14.3","0.5","14.8"
"Birth asphyxia and birth trauma","2001","14.5","0.5","15"
"Birth asphyxia and birth trauma","2000","14.7","0.5","15.2"
"Sepsis and other infectious conditions of the newborn","2015","7.7","0","7.7"
"Sepsis and other infectious conditions of the newborn","2014","7.9","0","7.9"
"Sepsis and other infectious conditions of the newborn","2013","8","0","8"
"Sepsis and other infectious conditions of the newborn","2012","8.2","0","8.2"
"Sepsis and other infectious conditions of the newborn","2011","8.4","0","8.4"
"Sepsis and other infectious conditions of the newborn","2010","8.8","0","8.8"
"Sepsis and other infectious conditions of the newborn","2009","9.1","0","9.1"
"Sepsis and other infectious conditions of the newborn","2008","9.2","0","9.2"
"Sepsis and other infectious conditions of the newborn","2007","8.9","0","8.9"
"Sepsis and other infectious conditions of the newborn","2006","8.6","0","8.6"
"Sepsis and other infectious conditions of the newborn","2005","8.5","0","8.5"
"Sepsis and other infectious conditions of the newborn","2004","8.6","0","8.6"
"Sepsis and other infectious conditions of the newborn","2003","8.7","0","8.7"
"Sepsis and other infectious conditions of the newborn","2002","8.9","0","8.9"
"Sepsis and other infectious conditions of the newborn","2001","8.9","0","8.9"
"Sepsis and other infectious conditions of the newborn","2000","8.9","0","8.9"
"Other communicable, perinatal and nutritional conditions","2015","1.7","6.2","7.9"
"Other communicable, perinatal and nutritional conditions","2014","1.8","6.2","8"
"Other communicable, perinatal and nutritional conditions","2013","1.8","6.2","8.1"
"Other communicable, perinatal and nutritional conditions","2012","1.8","6.1","7.9"
"Other communicable, perinatal and nutritional conditions","2011","1.9","5.8","7.7"
"Other communicable, perinatal and nutritional conditions","2010","2","5.6","7.6"
"Other communicable, perinatal and nutritional conditions","2009","2","5.2","7.2"
"Other communicable, perinatal and nutritional conditions","2008","2","4.5","6.5"
"Other communicable, perinatal and nutritional conditions","2007","2","4.3","6.3"
"Other communicable, perinatal and nutritional conditions","2006","2.1","4.1","6.1"
"Other communicable, perinatal and nutritional conditions","2005","2.1","3.9","6"
"Other communicable, perinatal and nutritional conditions","2004","2.2","3.9","6"
"Other communicable, perinatal and nutritional conditions","2003","2.2","4","6.2"
"Other communicable, perinatal and nutritional conditions","2002","2.3","4.1","6.3"
"Other communicable, perinatal and nutritional conditions","2001","2.3","4.2","6.4"
"Other communicable, perinatal and nutritional conditions","2000","2.3","4.3","6.5"
"Congenital anomalies","2015","2.5","1.8","4.3"
"Congenital anomalies","2014","2.4","1.8","4.3"
"Congenital anomalies","2013","2.4","1.9","4.3"
"Congenital anomalies","2012","2.4","1.8","4.2"
"Congenital anomalies","2011","2.3","1.8","4.1"
"Congenital anomalies","2010","2.3","1.7","4"
"Congenital anomalies","2009","2.3","1.6","3.9"
"Congenital anomalies","2008","2.3","1.4","3.7"
"Congenital anomalies","2007","2.2","1.4","3.6"
"Congenital anomalies","2006","2.3","1.3","3.6"
"Congenital anomalies","2005","2.3","1.3","3.6"
"Congenital anomalies","2004","2.3","1.3","3.6"
"Congenital anomalies","2003","2.3","1.3","3.6"
"Congenital anomalies","2002","2.3","1.3","3.7"
"Congenital anomalies","2001","2.3","1.3","3.7"
"Congenital anomalies","2000","2.4","1.4","3.7"
"Other noncommunicable diseases","2015","0","2.2","2.2"
"Other noncommunicable diseases","2014","0.1","2.2","2.2"
"Other noncommunicable diseases","2013","0.1","2.2","2.2"
"Other noncommunicable diseases","2012","0.1","2.1","2.2"
"Other noncommunicable diseases","2011","0.1","2","2.1"
"Other noncommunicable diseases","2010","0.1","2","2"
"Other noncommunicable diseases","2009","0.1","1.8","1.9"
"Other noncommunicable diseases","2008","0.1","1.6","1.7"
"Other noncommunicable diseases","2007","0.1","1.5","1.6"
"Other noncommunicable diseases","2006","0.1","1.5","1.5"
"Other noncommunicable diseases","2005","0.1","1.4","1.5"
"Other noncommunicable diseases","2004","0.1","1.4","1.4"
"Other noncommunicable diseases","2003","0.1","1.4","1.5"
"Other noncommunicable diseases","2002","0.1","1.4","1.5"
"Other noncommunicable diseases","2001","0.1","1.5","1.5"
"Other noncommunicable diseases","2000","0.1","1.5","1.6"
"Injuries","2015","0.3","3.5","3.9"
"Injuries","2014","0.3","3.5","3.9"
"Injuries","2013","0.4","3.5","3.9"
"Injuries","2012","0.4","3.4","3.8"
"Injuries","2011","0.4","3.3","3.6"
"Injuries","2010","0.4","3.1","3.5"
"Injuries","2009","0.4","2.9","3.3"
"Injuries","2008","0.4","2.6","2.9"
"Injuries","2007","0.4","2.4","2.8"
"Injuries","2006","0.4","2.3","2.7"
"Injuries","2005","0.4","2.2","2.6"
"Injuries","2004","0.4","2.2","2.6"
"Injuries","2003","0.4","2.2","2.6"
"Injuries","2002","0.4","2.2","2.7"
"Injuries","2001","0.4","2.3","2.7"
"Injuries","2000","0.4","2.3","2.7"
