,,"Deaths per 1 000 live births","Deaths per 1 000 live births","Deaths per 1 000 live births"
,,"Cameroon","Cameroon","Cameroon"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0","3.5","3.5"
"HIV/AIDS","2014","0","3.6","3.7"
"HIV/AIDS","2013","0","4","4"
"HIV/AIDS","2012","0","4.5","4.6"
"HIV/AIDS","2011","0","4.9","4.9"
"HIV/AIDS","2010","0.1","5.4","5.5"
"HIV/AIDS","2009","0.1","6.3","6.3"
"HIV/AIDS","2008","0.1","6.6","6.7"
"HIV/AIDS","2007","0.1","6.9","7"
"HIV/AIDS","2006","0.1","7.1","7.2"
"HIV/AIDS","2005","0.1","7.3","7.4"
"HIV/AIDS","2004","0.1","7.5","7.5"
"HIV/AIDS","2003","0.1","7.6","7.7"
"HIV/AIDS","2002","0.1","7.8","7.8"
"HIV/AIDS","2001","0.1","7.8","7.9"
"HIV/AIDS","2000","0.1","7.7","7.7"
"Diarrhoeal diseases","2015","0.1","9.7","9.8"
"Diarrhoeal diseases","2014","0.1","10.4","10.5"
"Diarrhoeal diseases","2013","0.1","11.9","12"
"Diarrhoeal diseases","2012","0.1","12.6","12.8"
"Diarrhoeal diseases","2011","0.1","12.7","12.8"
"Diarrhoeal diseases","2010","0.1","13","13.1"
"Diarrhoeal diseases","2009","0.1","13.5","13.6"
"Diarrhoeal diseases","2008","0.2","12.6","12.8"
"Diarrhoeal diseases","2007","0.2","12.8","13"
"Diarrhoeal diseases","2006","0.2","13.4","13.6"
"Diarrhoeal diseases","2005","0.2","13.9","14.1"
"Diarrhoeal diseases","2004","0.2","14.9","15.2"
"Diarrhoeal diseases","2003","0.2","16.4","16.6"
"Diarrhoeal diseases","2002","0.2","18.1","18.4"
"Diarrhoeal diseases","2001","0.3","19.6","19.8"
"Diarrhoeal diseases","2000","0.3","21.6","21.9"
"Pertussis","2015","0","0.9","0.9"
"Pertussis","2014","0","0.9","1"
"Pertussis","2013","0","1","1"
"Pertussis","2012","0","1","1.1"
"Pertussis","2011","0.1","1","1.1"
"Pertussis","2010","0","1","1.1"
"Pertussis","2009","0.1","1","1.1"
"Pertussis","2008","0","1","1.1"
"Pertussis","2007","0.1","1","1.1"
"Pertussis","2006","0.1","1.1","1.1"
"Pertussis","2005","0.1","1.1","1.1"
"Pertussis","2004","0.1","1.1","1.2"
"Pertussis","2003","0.1","1.1","1.2"
"Pertussis","2002","0.1","1.2","1.2"
"Pertussis","2001","0.1","1.2","1.2"
"Pertussis","2000","0.1","1.2","1.2"
"Tetanus","2015","0.2","0","0.2"
"Tetanus","2014","0.2","0","0.2"
"Tetanus","2013","0.2","0","0.3"
"Tetanus","2012","0.3","0","0.3"
"Tetanus","2011","0.3","0","0.3"
"Tetanus","2010","0.3","0","0.3"
"Tetanus","2009","0.3","0","0.3"
"Tetanus","2008","0.3","0","0.3"
"Tetanus","2007","0.3","0","0.4"
"Tetanus","2006","0.4","0","0.4"
"Tetanus","2005","0.4","0","0.4"
"Tetanus","2004","0.5","0","0.5"
"Tetanus","2003","0.6","0","0.6"
"Tetanus","2002","0.7","0","0.7"
"Tetanus","2001","0.8","0","0.8"
"Tetanus","2000","0.9","0","0.9"
"Measles","2015","0","0.1","0.1"
"Measles","2014","0","0.4","0.4"
"Measles","2013","0","0.2","0.2"
"Measles","2012","0","0.5","0.5"
"Measles","2011","0","0.4","0.4"
"Measles","2010","0","0.2","0.2"
"Measles","2009","0","0.4","0.4"
"Measles","2008","0","0.2","0.2"
"Measles","2007","0","0.3","0.3"
"Measles","2006","0","0.6","0.6"
"Measles","2005","0","0.7","0.7"
"Measles","2004","0","0.5","0.5"
"Measles","2003","0","0.2","0.2"
"Measles","2002","0","0.3","0.3"
"Measles","2001","0","10.8","10.8"
"Measles","2000","0","7.4","7.4"
"Meningitis/encephalitis","2015","0","1.6","1.6"
"Meningitis/encephalitis","2014","0","1.6","1.6"
"Meningitis/encephalitis","2013","0","1.6","1.6"
"Meningitis/encephalitis","2012","0","1.7","1.7"
"Meningitis/encephalitis","2011","0","2.3","2.3"
"Meningitis/encephalitis","2010","0","2.5","2.5"
"Meningitis/encephalitis","2009","0","2.5","2.5"
"Meningitis/encephalitis","2008","0","5","5"
"Meningitis/encephalitis","2007","0","4.9","4.9"
"Meningitis/encephalitis","2006","0","3.2","3.2"
"Meningitis/encephalitis","2005","0","3.2","3.2"
"Meningitis/encephalitis","2004","0","3.3","3.3"
"Meningitis/encephalitis","2003","0","3.5","3.5"
"Meningitis/encephalitis","2002","0","3.7","3.7"
"Meningitis/encephalitis","2001","0","5.8","5.8"
"Meningitis/encephalitis","2000","0","4.1","4.1"
"Malaria","2015","0","8.6","8.6"
"Malaria","2014","0","8.9","8.9"
"Malaria","2013","0","9.3","9.3"
"Malaria","2012","0","9.8","9.8"
"Malaria","2011","0","10.3","10.3"
"Malaria","2010","0","11.7","11.7"
"Malaria","2009","0","14.1","14.1"
"Malaria","2008","0","15.9","15.9"
