,,"Deaths per 1 000 live births","Deaths per 1 000 live births","Deaths per 1 000 live births"
,,"Gambia","Gambia","Gambia"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0","1.6","1.7"
"HIV/AIDS","2014","0","1.7","1.7"
"HIV/AIDS","2013","0","1.6","1.6"
"HIV/AIDS","2012","0","1.4","1.4"
"HIV/AIDS","2011","0","1.8","1.8"
"HIV/AIDS","2010","0","2.1","2.1"
"HIV/AIDS","2009","0","2.7","2.7"
"HIV/AIDS","2008","0","2.9","3"
"HIV/AIDS","2007","0","3","3.1"
"HIV/AIDS","2006","0","3","3"
"HIV/AIDS","2005","0","2.9","3"
"HIV/AIDS","2004","0","2.8","2.9"
"HIV/AIDS","2003","0","2.7","2.7"
"HIV/AIDS","2002","0","2.5","2.5"
"HIV/AIDS","2001","0","2.2","2.3"
"HIV/AIDS","2000","0","2","2"
"Diarrhoeal diseases","2015","0.1","5.8","5.9"
"Diarrhoeal diseases","2014","0.1","6.2","6.3"
"Diarrhoeal diseases","2013","0.1","7.5","7.6"
"Diarrhoeal diseases","2012","0.1","8.1","8.2"
"Diarrhoeal diseases","2011","0.1","8.6","8.7"
"Diarrhoeal diseases","2010","0.1","9.1","9.2"
"Diarrhoeal diseases","2009","0.1","9.1","9.2"
"Diarrhoeal diseases","2008","0.1","9.8","10"
"Diarrhoeal diseases","2007","0.1","10.6","10.7"
"Diarrhoeal diseases","2006","0.1","11.5","11.6"
"Diarrhoeal diseases","2005","0.1","12.3","12.4"
"Diarrhoeal diseases","2004","0.2","13.2","13.3"
"Diarrhoeal diseases","2003","0.2","14.2","14.4"
"Diarrhoeal diseases","2002","0.2","15.3","15.4"
"Diarrhoeal diseases","2001","0.2","16","16.2"
"Diarrhoeal diseases","2000","0.2","17.3","17.5"
"Pertussis","2015","0","0.8","0.8"
"Pertussis","2014","0.1","0.8","0.9"
"Pertussis","2013","0.1","0.8","0.9"
"Pertussis","2012","0.1","0.9","0.9"
"Pertussis","2011","0","0.9","0.9"
"Pertussis","2010","0","0.9","0.9"
"Pertussis","2009","0","0.9","0.9"
"Pertussis","2008","0","0.9","0.9"
"Pertussis","2007","0","0.9","0.9"
"Pertussis","2006","0","0.9","0.9"
"Pertussis","2005","0","0.9","0.9"
"Pertussis","2004","0","0.9","1"
"Pertussis","2003","0.1","0.9","1"
"Pertussis","2002","0.1","0.9","1"
"Pertussis","2001","0.1","0.9","1"
"Pertussis","2000","0.1","1","1"
"Tetanus","2015","0.3","0","0.3"
"Tetanus","2014","0.3","0","0.3"
"Tetanus","2013","0.3","0","0.3"
"Tetanus","2012","0.3","0","0.3"
"Tetanus","2011","0.3","0","0.3"
"Tetanus","2010","0.3","0","0.3"
"Tetanus","2009","0.3","0","0.3"
"Tetanus","2008","0.3","0","0.3"
"Tetanus","2007","0.4","0","0.4"
"Tetanus","2006","0.4","0","0.4"
"Tetanus","2005","0.4","0","0.4"
"Tetanus","2004","0.4","0","0.4"
"Tetanus","2003","0.5","0","0.5"
"Tetanus","2002","0.5","0","0.5"
"Tetanus","2001","0.6","0","0.6"
"Tetanus","2000","0.6","0","0.6"
"Measles","2015","0","0.1","0.1"
"Measles","2014","0","0.2","0.2"
"Measles","2013","0","0.2","0.2"
"Measles","2012","0","0.1","0.1"
"Measles","2011","0","0.5","0.5"
"Measles","2010","0","0.5","0.5"
"Measles","2009","0","0.4","0.4"
"Measles","2008","0","0.2","0.2"
"Measles","2007","0","0.5","0.5"
"Measles","2006","0","0.4","0.4"
"Measles","2005","0","0.2","0.2"
"Measles","2004","0","0","0"
"Measles","2003","0","1.6","1.6"
"Measles","2002","0","1.5","1.5"
"Measles","2001","0","2.5","2.5"
"Measles","2000","0","5","5"
"Meningitis/encephalitis","2015","0","1","1"
"Meningitis/encephalitis","2014","0","1","1"
"Meningitis/encephalitis","2013","0","1.1","1.1"
"Meningitis/encephalitis","2012","0","1.6","1.6"
"Meningitis/encephalitis","2011","0","1.3","1.3"
"Meningitis/encephalitis","2010","0","1.4","1.4"
"Meningitis/encephalitis","2009","0","1.9","1.9"
"Meningitis/encephalitis","2008","0","2","2"
"Meningitis/encephalitis","2007","0","2.1","2.1"
"Meningitis/encephalitis","2006","0","2.2","2.2"
"Meningitis/encephalitis","2005","0","2.3","2.3"
"Meningitis/encephalitis","2004","0","2.4","2.4"
"Meningitis/encephalitis","2003","0","2.5","2.5"
"Meningitis/encephalitis","2002","0","2.6","2.6"
"Meningitis/encephalitis","2001","0","4","4"
"Meningitis/encephalitis","2000","0","2.7","2.7"
"Malaria","2015","0","2.4","2.4"
"Malaria","2014","0","2.5","2.5"
"Malaria","2013","0","2.5","2.5"
"Malaria","2012","0","2.6","2.6"
"Malaria","2011","0","2.7","2.7"
"Malaria","2010","0","2.9","2.9"
"Malaria","2009","0","2.8","2.8"
"Malaria","2008","0","3.1","3.1"
"Malaria","2007","0","3.3","3.3"
"Malaria","2006","0","3.7","3.7"
"Malaria","2005","0","4.2","4.2"
"Malaria","2004","0","4.9","4.9"
"Malaria","2003","0","5.8","5.8"
"Malaria","2002","0","6.8","6.8"
"Malaria","2001","0","7.7","7.7"
"Malaria","2000","0","8.8","8.8"
"Acute lower respiratory infections","2015","1.9","7.4","9.3"
"Acute lower respiratory infections","2014","1.9","7.6","9.6"
"Acute lower respiratory infections","2013","2","7.8","9.8"
"Acute lower respiratory infections","2012","2","8","10"
"Acute lower respiratory infections","2011","2.1","8.9","10.9"
"Acute lower respiratory infections","2010","2.1","9.6","11.7"
"Acute lower respiratory infections","2009","2.2","11.4","13.6"
"Acute lower respiratory infections","2008","2.2","11.9","14.2"
"Acute lower respiratory infections","2007","2.3","12.5","14.8"
"Acute lower respiratory infections","2006","2.3","13","15.3"
"Acute lower respiratory infections","2005","2.4","13.4","15.7"
"Acute lower respiratory infections","2004","2.5","13.9","16.3"
"Acute lower respiratory infections","2003","2.5","14.4","17"
"Acute lower respiratory infections","2002","2.6","15","17.6"
"Acute lower respiratory infections","2001","2.6","15.2","17.9"
"Acute lower respiratory infections","2000","2.7","15.7","18.4"
"Prematurity","2015","8.5","1.5","10"
"Prematurity","2014","8.7","1.5","10.2"
"Prematurity","2013","8.7","1.5","10.3"
"Prematurity","2012","8.7","1.6","10.3"
"Prematurity","2011","8.7","1.6","10.3"
"Prematurity","2010","8.7","1.6","10.4"
"Prematurity","2009","8.9","1.6","10.5"
"Prematurity","2008","9.1","1.6","10.7"
"Prematurity","2007","9.3","1.7","10.9"
"Prematurity","2006","9.5","1.7","11.2"
"Prematurity","2005","9.8","1.8","11.5"
"Prematurity","2004","10","1.8","11.8"
"Prematurity","2003","10.1","1.8","12"
"Prematurity","2002","10.3","1.9","12.2"
"Prematurity","2001","10.5","1.9","12.4"
"Prematurity","2000","10.8","1.9","12.8"
"Birth asphyxia and birth trauma","2015","8.6","0.8","9.3"
"Birth asphyxia and birth trauma","2014","8.8","0.8","9.6"
"Birth asphyxia and birth trauma","2013","9.1","0.8","9.9"
"Birth asphyxia and birth trauma","2012","9.4","0.8","10.2"
"Birth asphyxia and birth trauma","2011","9.7","0.8","10.5"
"Birth asphyxia and birth trauma","2010","9.9","0.8","10.7"
"Birth asphyxia and birth trauma","2009","10.1","0.8","10.9"
"Birth asphyxia and birth trauma","2008","10.3","0.8","11.2"
"Birth asphyxia and birth trauma","2007","10.6","0.8","11.4"
"Birth asphyxia and birth trauma","2006","10.8","0.9","11.7"
"Birth asphyxia and birth trauma","2005","11.2","0.9","12.1"
"Birth asphyxia and birth trauma","2004","11.5","0.9","12.4"
"Birth asphyxia and birth trauma","2003","11.8","0.9","12.7"
"Birth asphyxia and birth trauma","2002","12","0.9","13"
"Birth asphyxia and birth trauma","2001","12.3","0.9","13.2"
"Birth asphyxia and birth trauma","2000","12.6","1","13.6"
"Sepsis and other infectious conditions of the newborn","2015","6.1","0","6.1"
"Sepsis and other infectious conditions of the newborn","2014","6.3","0","6.3"
"Sepsis and other infectious conditions of the newborn","2013","6.6","0","6.6"
"Sepsis and other infectious conditions of the newborn","2012","6.9","0","6.9"
"Sepsis and other infectious conditions of the newborn","2011","7.1","0","7.1"
"Sepsis and other infectious conditions of the newborn","2010","7.3","0","7.3"
"Sepsis and other infectious conditions of the newborn","2009","7.5","0","7.5"
"Sepsis and other infectious conditions of the newborn","2008","7.7","0","7.7"
"Sepsis and other infectious conditions of the newborn","2007","8","0","8"
"Sepsis and other infectious conditions of the newborn","2006","8.3","0","8.3"
"Sepsis and other infectious conditions of the newborn","2005","8.6","0","8.6"
"Sepsis and other infectious conditions of the newborn","2004","9","0","9"
"Sepsis and other infectious conditions of the newborn","2003","9.2","0","9.2"
"Sepsis and other infectious conditions of the newborn","2002","9.5","0","9.5"
"Sepsis and other infectious conditions of the newborn","2001","9.6","0","9.6"
"Sepsis and other infectious conditions of the newborn","2000","9.9","0","9.9"
"Other communicable, perinatal and nutritional conditions","2015","1.4","6.1","7.5"
"Other communicable, perinatal and nutritional conditions","2014","1.4","6.2","7.7"
"Other communicable, perinatal and nutritional conditions","2013","1.5","6.3","7.8"
"Other communicable, perinatal and nutritional conditions","2012","1.6","6.5","8"
"Other communicable, perinatal and nutritional conditions","2011","1.6","7","8.7"
"Other communicable, perinatal and nutritional conditions","2010","1.7","7.2","8.9"
"Other communicable, perinatal and nutritional conditions","2009","1.7","6.9","8.6"
"Other communicable, perinatal and nutritional conditions","2008","1.7","7.1","8.8"
"Other communicable, perinatal and nutritional conditions","2007","1.7","7.3","9.1"
"Other communicable, perinatal and nutritional conditions","2006","1.8","7.6","9.4"
"Other communicable, perinatal and nutritional conditions","2005","1.8","7.8","9.6"
"Other communicable, perinatal and nutritional conditions","2004","1.9","8","9.9"
"Other communicable, perinatal and nutritional conditions","2003","1.9","8.3","10.2"
"Other communicable, perinatal and nutritional conditions","2002","1.9","8.5","10.4"
"Other communicable, perinatal and nutritional conditions","2001","2","8.5","10.4"
"Other communicable, perinatal and nutritional conditions","2000","2","8.8","10.7"
"Congenital anomalies","2015","2.8","2.4","5.1"
"Congenital anomalies","2014","2.7","2.4","5.2"
"Congenital anomalies","2013","2.7","2.4","5.1"
"Congenital anomalies","2012","2.7","2.5","5.2"
"Congenital anomalies","2011","2.7","2.5","5.2"
"Congenital anomalies","2010","2.6","2.5","5.1"
"Congenital anomalies","2009","2.6","2.4","5"
"Congenital anomalies","2008","2.5","2.4","5"
"Congenital anomalies","2007","2.5","2.5","5"
"Congenital anomalies","2006","2.4","2.5","5"
"Congenital anomalies","2005","2.4","2.6","5"
"Congenital anomalies","2004","2.4","2.6","5"
"Congenital anomalies","2003","2.3","2.7","5"
"Congenital anomalies","2002","2.3","2.7","5"
"Congenital anomalies","2001","2.3","2.7","4.9"
"Congenital anomalies","2000","2.3","2.7","5"
"Other noncommunicable diseases","2015","0","2.9","3"
"Other noncommunicable diseases","2014","0","3","3.1"
"Other noncommunicable diseases","2013","0","3","3.1"
"Other noncommunicable diseases","2012","0.1","3.1","3.2"
"Other noncommunicable diseases","2011","0.1","2.7","2.7"
"Other noncommunicable diseases","2010","0.1","2.7","2.8"
"Other noncommunicable diseases","2009","0.1","2.6","2.6"
"Other noncommunicable diseases","2008","0.1","2.7","2.7"
"Other noncommunicable diseases","2007","0.1","2.7","2.8"
"Other noncommunicable diseases","2006","0.1","2.8","2.9"
"Other noncommunicable diseases","2005","0.1","2.9","2.9"
"Other noncommunicable diseases","2004","0.1","2.9","3"
"Other noncommunicable diseases","2003","0.1","3","3.1"
"Other noncommunicable diseases","2002","0.1","3.1","3.1"
"Other noncommunicable diseases","2001","0.1","3.1","3.1"
"Other noncommunicable diseases","2000","0.1","3.2","3.2"
"Injuries","2015","0.3","4.4","4.6"
"Injuries","2014","0.3","4.4","4.7"
"Injuries","2013","0.3","4.5","4.8"
"Injuries","2012","0.3","4.5","4.8"
"Injuries","2011","0.3","4.6","4.9"
"Injuries","2010","0.3","4.6","5"
"Injuries","2009","0.3","4.4","4.7"
"Injuries","2008","0.4","4.5","4.8"
"Injuries","2007","0.4","4.6","4.9"
"Injuries","2006","0.4","4.7","5"
"Injuries","2005","0.4","4.7","5.1"
"Injuries","2004","0.4","4.8","5.2"
"Injuries","2003","0.4","4.8","5.3"
"Injuries","2002","0.4","4.9","5.3"
"Injuries","2001","0.4","4.8","5.3"
"Injuries","2000","0.5","4.9","5.4"
