,,"Deaths per 1 000 live births","Deaths per 1 000 live births","Deaths per 1 000 live births"
,,"Guinea","Guinea","Guinea"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0","0.5","0.5"
"HIV/AIDS","2014","0","0.5","0.5"
"HIV/AIDS","2013","0","1","1"
"HIV/AIDS","2012","0","1.9","1.9"
"HIV/AIDS","2011","0","2","2"
"HIV/AIDS","2010","0","2.2","2.2"
"HIV/AIDS","2009","0","2.3","2.3"
"HIV/AIDS","2008","0","2.3","2.3"
"HIV/AIDS","2007","0","2.4","2.4"
"HIV/AIDS","2006","0","2.6","2.6"
"HIV/AIDS","2005","0","2.7","2.7"
"HIV/AIDS","2004","0","2.8","2.8"
"HIV/AIDS","2003","0","2.9","2.9"
"HIV/AIDS","2002","0","3","3"
"HIV/AIDS","2001","0","3","3"
"HIV/AIDS","2000","0","3","3"
"Diarrhoeal diseases","2015","0.1","7.5","7.7"
"Diarrhoeal diseases","2014","0.1","8.1","8.2"
"Diarrhoeal diseases","2013","0.1","8.6","8.8"
"Diarrhoeal diseases","2012","0.2","9.1","9.3"
"Diarrhoeal diseases","2011","0.2","9.8","10"
"Diarrhoeal diseases","2010","0.2","10.7","10.9"
"Diarrhoeal diseases","2009","0.2","11.6","11.8"
"Diarrhoeal diseases","2008","0.2","11.7","11.9"
"Diarrhoeal diseases","2007","0.2","12.9","13.1"
"Diarrhoeal diseases","2006","0.2","13.8","14"
"Diarrhoeal diseases","2005","0.3","14.5","14.8"
"Diarrhoeal diseases","2004","0.3","15.5","15.8"
"Diarrhoeal diseases","2003","0.3","16.5","16.8"
"Diarrhoeal diseases","2002","0.4","17.7","18"
"Diarrhoeal diseases","2001","0.4","18.9","19.3"
"Diarrhoeal diseases","2000","0.4","20","20.4"
"Pertussis","2015","0.1","1","1"
"Pertussis","2014","0.1","1","1.1"
"Pertussis","2013","0.1","1.1","1.1"
"Pertussis","2012","0.1","1.1","1.2"
"Pertussis","2011","0.1","1.1","1.2"
"Pertussis","2010","0.1","1.1","1.2"
"Pertussis","2009","0.1","1.2","1.2"
