,,"Deaths per 1 000 live births","Deaths per 1 000 live births","Deaths per 1 000 live births"
,,"Burkina Faso","Burkina Faso","Burkina Faso"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0","0.6","0.6"
"HIV/AIDS","2014","0","0.6","0.6"
"HIV/AIDS","2013","0","0.7","0.7"
"HIV/AIDS","2012","0","0.8","0.8"
"HIV/AIDS","2011","0","0.9","0.9"
"HIV/AIDS","2010","0","1","1"
"HIV/AIDS","2009","0","1.1","1.1"
"HIV/AIDS","2008","0","1.5","1.5"
"HIV/AIDS","2007","0","1.6","1.7"
"HIV/AIDS","2006","0","1.9","2"
"HIV/AIDS","2005","0","2.2","2.3"
"HIV/AIDS","2004","0","2.5","2.5"
"HIV/AIDS","2003","0","2.8","2.9"
"HIV/AIDS","2002","0","3.2","3.2"
"HIV/AIDS","2001","0","3.6","3.6"
"HIV/AIDS","2000","0","3.9","4"
"Diarrhoeal diseases","2015","0.1","7.1","7.2"
"Diarrhoeal diseases","2014","0.1","7.5","7.6"
"Diarrhoeal diseases","2013","0.1","7.9","8"
"Diarrhoeal diseases","2012","0.1","7.9","8"
"Diarrhoeal diseases","2011","0.1","7.8","7.9"
"Diarrhoeal diseases","2010","0.1","7.7","7.9"
"Diarrhoeal diseases","2009","0.2","8.3","8.5"
"Diarrhoeal diseases","2008","0.2","9.6","9.8"
"Diarrhoeal diseases","2007","0.2","11.5","11.7"
"Diarrhoeal diseases","2006","0.2","13.4","13.6"
"Diarrhoeal diseases","2005","0.3","14.3","14.5"
"Diarrhoeal diseases","2004","0.3","15.2","15.5"
"Diarrhoeal diseases","2003","0.3","15.5","15.8"
"Diarrhoeal diseases","2002","0.4","15.6","16"
"Diarrhoeal diseases","2001","0.4","15.6","16"
"Diarrhoeal diseases","2000","0.4","15.6","16"
"Pertussis","2015","0","0.8","0.9"
"Pertussis","2014","0","0.9","0.9"
"Pertussis","2013","0","0.9","1"
"Pertussis","2012","0","1","1"
"Pertussis","2011","0","1","1"
"Pertussis","2010","0","1","1"
"Pertussis","2009","0","1","1"
"Pertussis","2008","0","0.9","1"
"Pertussis","2007","0","1","1"
"Pertussis","2006","0","1","1"
"Pertussis","2005","0.1","1","1.1"
"Pertussis","2004","0","1","1.1"
"Pertussis","2003","0","1.1","1.1"
"Pertussis","2002","0.1","1.1","1.2"
"Pertussis","2001","0.1","1.1","1.2"
"Pertussis","2000","0.1","1.2","1.3"
