,,"Deaths per 1 000 live births","Deaths per 1 000 live births","Deaths per 1 000 live births"
,,"Liberia","Liberia","Liberia"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0","0.8","0.9"
"HIV/AIDS","2014","0","0.9","0.9"
"HIV/AIDS","2013","0","1","1.1"
"HIV/AIDS","2012","0","1.2","1.2"
"HIV/AIDS","2011","0","1.5","1.5"
"HIV/AIDS","2010","0","1.8","1.8"
"HIV/AIDS","2009","0","2.1","2.1"
"HIV/AIDS","2008","0","2.4","2.4"
"HIV/AIDS","2007","0","2.7","2.8"
"HIV/AIDS","2006","0","2.9","3"
"HIV/AIDS","2005","0","3.1","3.1"
"HIV/AIDS","2004","0","3.1","3.2"
"HIV/AIDS","2003","0","3.1","3.2"
"HIV/AIDS","2002","0","3.1","3.1"
"HIV/AIDS","2001","0","3.1","3.1"
"HIV/AIDS","2000","0","3","3.1"
"Diarrhoeal diseases","2015","0.1","6.1","6.2"
"Diarrhoeal diseases","2014","0.1","6.6","6.7"
"Diarrhoeal diseases","2013","0.1","7","7.1"
"Diarrhoeal diseases","2012","0.1","7.8","7.9"
"Diarrhoeal diseases","2011","0.1","8.5","8.6"
"Diarrhoeal diseases","2010","0.1","9.1","9.2"
"Diarrhoeal diseases","2009","0.1","10.1","10.2"
"Diarrhoeal diseases","2008","0.1","10.9","11.1"
"Diarrhoeal diseases","2007","0.2","11","11.2"
"Diarrhoeal diseases","2006","0.2","11.9","12.1"
"Diarrhoeal diseases","2005","0.3","12.8","13.1"
"Diarrhoeal diseases","2004","0.3","13.9","14.2"
"Diarrhoeal diseases","2003","0.4","15.3","15.6"
"Diarrhoeal diseases","2002","0.4","16.9","17.4"
"Diarrhoeal diseases","2001","0.5","18.8","19.3"
"Diarrhoeal diseases","2000","0.6","20.9","21.5"
"Pertussis","2015","0.1","0.9","1"
"Pertussis","2014","0.1","1","1"
"Pertussis","2013","0.1","1","1.1"
"Pertussis","2012","0.1","1.1","1.1"
"Pertussis","2011","0.1","1.1","1.1"
"Pertussis","2010","0.1","1.1","1.2"
"Pertussis","2009","0","1.1","1.1"
"Pertussis","2008","0.1","1.1","1.2"
"Pertussis","2007","0.1","1.2","1.2"
"Pertussis","2006","0.1","1.2","1.3"
"Pertussis","2005","0.1","1.2","1.2"
