,,"Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)"
,,"Senegal","Senegal","Senegal"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0","1.1","0.6"
"HIV/AIDS","2014","0","1.1","0.6"
"HIV/AIDS","2013","0","1.1","0.6"
"HIV/AIDS","2012","0","1.2","0.7"
"HIV/AIDS","2011","0","1.1","0.7"
"HIV/AIDS","2010","0","1.1","0.7"
"HIV/AIDS","2009","0","1.2","0.8"
"HIV/AIDS","2008","0","1.4","0.9"
"HIV/AIDS","2007","0","1.4","0.9"
"HIV/AIDS","2006","0","1.3","0.9"
"HIV/AIDS","2005","0","1.2","0.8"
"HIV/AIDS","2004","0","1.1","0.7"
"HIV/AIDS","2003","0","0.9","0.6"
"HIV/AIDS","2002","0","0.6","0.4"
"HIV/AIDS","2001","0","0.6","0.4"
"HIV/AIDS","2000","0","0.5","0.4"
"Diarrhoeal diseases","2015","0.5","15.7","8.9"
"Diarrhoeal diseases","2014","0.5","16.4","9.4"
"Diarrhoeal diseases","2013","0.5","15.3","9"
"Diarrhoeal diseases","2012","0.5","15.9","9.4"
"Diarrhoeal diseases","2011","0.5","16.6","10"
"Diarrhoeal diseases","2010","0.5","17.1","10.5"
"Diarrhoeal diseases","2009","0.5","17.7","11.1"
"Diarrhoeal diseases","2008","0.5","19","12"
"Diarrhoeal diseases","2007","0.6","20.2","12.8"
"Diarrhoeal diseases","2006","0.6","20.8","13.4"
"Diarrhoeal diseases","2005","0.6","20.1","13.2"
"Diarrhoeal diseases","2004","0.6","20.6","13.7"
"Diarrhoeal diseases","2003","0.7","19.3","13.5"
"Diarrhoeal diseases","2002","0.7","14.5","11.2"
"Diarrhoeal diseases","2001","0.8","18","13.5"
"Diarrhoeal diseases","2000","0.8","20.5","14.9"
"Pertussis","2015","0.2","3","1.7"
"Pertussis","2014","0.2","3","1.8"
"Pertussis","2013","0.2","2.9","1.8"
"Pertussis","2012","0.2","2.9","1.8"
"Pertussis","2011","0.2","2.7","1.7"
"Pertussis","2010","0.2","2.5","1.6"
"Pertussis","2009","0.2","2.3","1.5"
"Pertussis","2008","0.2","2.2","1.4"
"Pertussis","2007","0.2","2","1.3"
"Pertussis","2006","0.2","1.8","1.2"
"Pertussis","2005","0.1","1.8","1.2"
"Pertussis","2004","0.1","1.6","1.1"
"Pertussis","2003","0.2","1.4","1"
"Pertussis","2002","0.1","1","0.8"
"Pertussis","2001","0.1","1.1","0.9"
"Pertussis","2000","0.1","1.2","0.9"
"Tetanus","2015","0.4","0","0.2"
"Tetanus","2014","0.4","0","0.2"
"Tetanus","2013","0.5","0","0.2"
"Tetanus","2012","0.5","0","0.2"
"Tetanus","2011","0.5","0","0.2"
"Tetanus","2010","0.6","0","0.2"
"Tetanus","2009","0.7","0","0.3"
"Tetanus","2008","0.7","0","0.3"
"Tetanus","2007","0.8","0","0.3"
"Tetanus","2006","0.9","0","0.3"
"Tetanus","2005","1.1","0","0.4"
"Tetanus","2004","1.3","0","0.5"
"Tetanus","2003","1.5","0","0.5"
"Tetanus","2002","1.8","0","0.4"
