,,"Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)"
,,"Togo","Togo","Togo"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0","1.9","1.3"
"HIV/AIDS","2014","0","1.9","1.3"
"HIV/AIDS","2013","0.1","2.6","1.8"
"HIV/AIDS","2012","0.1","3","2"
"HIV/AIDS","2011","0.1","4.4","3"
"HIV/AIDS","2010","0.1","6.1","4.2"
"HIV/AIDS","2009","0.1","6.8","4.7"
"HIV/AIDS","2008","0.2","7.3","5"
"HIV/AIDS","2007","0.2","7.7","5.2"
"HIV/AIDS","2006","0.2","7.4","5"
"HIV/AIDS","2005","0.2","7.2","4.9"
"HIV/AIDS","2004","0.2","7","4.8"
"HIV/AIDS","2003","0.2","7","4.8"
"HIV/AIDS","2002","0.2","7","4.8"
"HIV/AIDS","2001","0.1","6.1","4.3"
"HIV/AIDS","2000","0.1","5.5","4"
"Diarrhoeal diseases","2015","0.4","12.5","8.4"
"Diarrhoeal diseases","2014","0.5","12.6","8.5"
"Diarrhoeal diseases","2013","0.5","12.4","8.5"
"Diarrhoeal diseases","2012","0.5","12.3","8.4"
"Diarrhoeal diseases","2011","0.5","11.8","8.1"
"Diarrhoeal diseases","2010","0.5","11","7.6"
"Diarrhoeal diseases","2009","0.5","10.7","7.4"
"Diarrhoeal diseases","2008","0.5","10.1","7"
"Diarrhoeal diseases","2007","0.5","10.1","7"
"Diarrhoeal diseases","2006","0.5","10.5","7.3"
"Diarrhoeal diseases","2005","0.6","11","7.6"
"Diarrhoeal diseases","2004","0.6","11.3","7.9"
"Diarrhoeal diseases","2003","0.7","11.8","8.3"
"Diarrhoeal diseases","2002","0.8","12.4","8.8"
"Diarrhoeal diseases","2001","0.8","11.6","8.4"
"Diarrhoeal diseases","2000","0.9","11.3","8.4"
"Pertussis","2015","0.2","1.7","1.2"
"Pertussis","2014","0.2","1.7","1.2"
"Pertussis","2013","0.2","1.7","1.2"
"Pertussis","2012","0.2","1.7","1.2"
"Pertussis","2011","0.2","1.6","1.1"
"Pertussis","2010","0.2","1.6","1.1"
"Pertussis","2009","0.2","1.6","1.1"
"Pertussis","2008","0.2","1.5","1.1"
"Pertussis","2007","0.2","1.5","1.1"
"Pertussis","2006","0.1","1.5","1"
