,,"Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)"
,,"Nigeria","Nigeria","Nigeria"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0.1","5","3.5"
"HIV/AIDS","2014","0.1","5.1","3.5"
"HIV/AIDS","2013","0.1","4.7","3.3"
"HIV/AIDS","2012","0.1","5.3","3.7"
"HIV/AIDS","2011","0.1","5.3","3.8"
"HIV/AIDS","2010","0.1","5.3","3.8"
"HIV/AIDS","2009","0.1","5.3","3.7"
"HIV/AIDS","2008","0.1","5.1","3.6"
"HIV/AIDS","2007","0.1","5.1","3.7"
"HIV/AIDS","2006","0.1","5","3.6"
"HIV/AIDS","2005","0.1","4.2","3.2"
"HIV/AIDS","2004","0.1","4.5","3.3"
"HIV/AIDS","2003","0.1","3.7","2.9"
"HIV/AIDS","2002","0.1","4.1","3"
"HIV/AIDS","2001","0.1","3.5","2.7"
"HIV/AIDS","2000","0.1","3.2","2.4"
"Diarrhoeal diseases","2015","0.8","14.7","10.3"
"Diarrhoeal diseases","2014","0.8","15.4","10.8"
"Diarrhoeal diseases","2013","0.8","14.8","10.6"
"Diarrhoeal diseases","2012","0.8","15.4","10.9"
"Diarrhoeal diseases","2011","0.8","15.5","11.1"
"Diarrhoeal diseases","2010","0.8","16.1","11.6"
"Diarrhoeal diseases","2009","0.8","16.3","11.7"
"Diarrhoeal diseases","2008","0.9","16.1","11.7"
"Diarrhoeal diseases","2007","0.9","16.8","12.2"
"Diarrhoeal diseases","2006","0.9","17","12.5"
"Diarrhoeal diseases","2005","1","14.6","11.2"
"Diarrhoeal diseases","2004","1","16.6","12.5"
"Diarrhoeal diseases","2003","1.1","14.9","11.6"
"Diarrhoeal diseases","2002","1.1","17.9","13.4"
"Diarrhoeal diseases","2001","1.1","16.9","13"
"Diarrhoeal diseases","2000","1.1","16.7","13"
"Pertussis","2015","0.2","1.6","1.2"
"Pertussis","2014","0.2","1.6","1.2"
"Pertussis","2013","0.2","1.5","1.1"
"Pertussis","2012","0.2","1.6","1.2"
"Pertussis","2011","0.2","1.5","1.1"
"Pertussis","2010","0.2","1.4","1"
"Pertussis","2009","0.1","1.3","1"
"Pertussis","2008","0.1","1.3","1"
"Pertussis","2007","0.1","1.3","1"
"Pertussis","2006","0.1","1.3","1"
"Pertussis","2005","0.1","1.1","0.8"
"Pertussis","2004","0.1","1.1","0.9"
"Pertussis","2003","0.1","1","0.8"
"Pertussis","2002","0.1","1.1","0.8"
"Pertussis","2001","0.1","1","0.8"
"Pertussis","2000","0.1","0.9","0.7"
"Tetanus","2015","2.5","0","0.8"
"Tetanus","2014","2.7","0","0.9"
"Tetanus","2013","2.8","0","0.9"
"Tetanus","2012","3","0","0.9"
"Tetanus","2011","3.2","0","1"
"Tetanus","2010","3.3","0","1"
"Tetanus","2009","3.5","0","1"
"Tetanus","2008","3.7","0","1.1"
"Tetanus","2007","4.1","0","1.2"
"Tetanus","2006","4.4","0","1.3"
"Tetanus","2005","4.8","0","1.2"
"Tetanus","2004","5.3","0","1.4"
"Tetanus","2003","5.7","0","1.4"
"Tetanus","2002","6.2","0","1.7"
"Tetanus","2001","6.7","0","1.7"
"Tetanus","2000","7.3","0","1.8"
"Measles","2015","0","1.8","1.2"
"Measles","2014","0","1","0.7"
"Measles","2013","0","6.4","4.5"
"Measles","2012","0","1.2","0.8"
"Measles","2011","0","4.1","2.8"
"Measles","2010","0","2","1.4"
"Measles","2009","0","0.4","0.3"
"Measles","2008","0","2.3","1.7"
"Measles","2007","0","1","0.7"
"Measles","2006","0","1.6","1.1"
"Measles","2005","0","15.7","11.7"
"Measles","2004","0","7.1","5.2"
"Measles","2003","0","19.2","14.6"
"Measles","2002","0","7.8","5.7"
"Measles","2001","0","15.4","11.6"
"Measles","2000","0","18.9","14.4"
"Meningitis/encephalitis","2015","0","3.7","2.5"
"Meningitis/encephalitis","2014","0","3.7","2.5"
"Meningitis/encephalitis","2013","0","3.7","2.6"
"Meningitis/encephalitis","2012","0","5.2","3.6"
"Meningitis/encephalitis","2011","0","3.5","2.4"
"Meningitis/encephalitis","2010","0","3.5","2.4"
"Meningitis/encephalitis","2009","0","5.2","3.7"
"Meningitis/encephalitis","2008","0","5","3.5"
"Meningitis/encephalitis","2007","0","3.3","2.3"
"Meningitis/encephalitis","2006","0","3.2","2.3"
"Meningitis/encephalitis","2005","0","4.2","3.1"
"Meningitis/encephalitis","2004","0","4.6","3.4"
"Meningitis/encephalitis","2003","0","4.1","3.1"
"Meningitis/encephalitis","2002","0","3.2","2.3"
"Meningitis/encephalitis","2001","0","2.9","2.2"
"Meningitis/encephalitis","2000","0","2.8","2.1"
"Malaria","2015","0","20.1","13.6"
"Malaria","2014","0","20.3","13.8"
"Malaria","2013","0","19","13.2"
"Malaria","2012","0","19.3","13.4"
"Malaria","2011","0","19.7","13.8"
"Malaria","2010","0","21.5","15.1"
"Malaria","2009","0","23.3","16.4"
"Malaria","2008","0","24.9","17.8"
"Malaria","2007","0","27.5","19.6"
"Malaria","2006","0","28.6","20.5"
"Malaria","2005","0","24.6","18.4"
"Malaria","2004","0","27.5","20.1"
"Malaria","2003","0","24.2","18.4"
"Malaria","2002","0","28.4","20.9"
"Malaria","2001","0","26.3","19.8"
"Malaria","2000","0","25.5","19.4"
"Acute lower respiratory infections","2015","7.2","22.8","17.8"
"Acute lower respiratory infections","2014","7.2","22.9","17.9"
"Acute lower respiratory infections","2013","7.3","22.3","17.7"
"Acute lower respiratory infections","2012","7.3","24.8","19.4"
"Acute lower respiratory infections","2011","7.4","24.6","19.5"
"Acute lower respiratory infections","2010","7.5","24.5","19.4"
"Acute lower respiratory infections","2009","7.5","23.7","18.9"
"Acute lower respiratory infections","2008","7.5","22.4","18.1"
"Acute lower respiratory infections","2007","7.6","22.4","18.1"
"Acute lower respiratory infections","2006","7.6","21.7","17.7"
"Acute lower respiratory infections","2005","7.7","17.9","15.3"
"Acute lower respiratory infections","2004","7.7","19.4","16.3"
"Acute lower respiratory infections","2003","7.7","16.7","14.5"
"Acute lower respiratory infections","2002","7.7","19.2","16.1"
"Acute lower respiratory infections","2001","7.7","17.4","15"
"Acute lower respiratory infections","2000","7.6","16.5","14.3"
"Prematurity","2015","31.1","2.5","11.7"
"Prematurity","2014","31","2.5","11.6"
"Prematurity","2013","30.6","2.3","10.8"
"Prematurity","2012","29.9","2.3","10.8"
"Prematurity","2011","29","2.2","10.2"
"Prematurity","2010","28.3","2.2","10"
"Prematurity","2009","27.9","2.1","9.8"
"Prematurity","2008","27.6","2","9.4"
"Prematurity","2007","27.3","2","9.2"
"Prematurity","2006","27","1.9","9"
"Prematurity","2005","26.7","1.6","7.9"
"Prematurity","2004","26.5","1.7","8.3"
"Prematurity","2003","26.2","1.4","7.4"
"Prematurity","2002","26","1.6","8.1"
"Prematurity","2001","25.9","1.5","7.5"
"Prematurity","2000","25.9","1.4","7.3"
"Birth asphyxia and birth trauma","2015","30.9","1.5","10.9"
"Birth asphyxia and birth trauma","2014","31","1.5","10.9"
"Birth asphyxia and birth trauma","2013","31.5","1.4","10.4"
"Birth asphyxia and birth trauma","2012","32.1","1.3","10.8"
"Birth asphyxia and birth trauma","2011","32.8","1.3","10.7"
"Birth asphyxia and birth trauma","2010","33.1","1.3","10.8"
"Birth asphyxia and birth trauma","2009","33.3","1.2","10.8"
"Birth asphyxia and birth trauma","2008","33.6","1.1","10.5"
"Birth asphyxia and birth trauma","2007","34","1.1","10.6"
"Birth asphyxia and birth trauma","2006","34.4","1.1","10.5"
"Birth asphyxia and birth trauma","2005","34.5","0.9","9.3"
"Birth asphyxia and birth trauma","2004","34.5","1","10"
"Birth asphyxia and birth trauma","2003","34.6","0.8","8.9"
"Birth asphyxia and birth trauma","2002","34.6","0.9","9.9"
"Birth asphyxia and birth trauma","2001","34.5","0.9","9.2"
"Birth asphyxia and birth trauma","2000","34.2","0.8","8.9"
"Sepsis and other infectious conditions of the newborn","2015","16.2","0","5.2"
"Sepsis and other infectious conditions of the newborn","2014","16.2","0","5.1"
"Sepsis and other infectious conditions of the newborn","2013","15.9","0","4.8"
"Sepsis and other infectious conditions of the newborn","2012","15.6","0","4.8"
"Sepsis and other infectious conditions of the newborn","2011","15.4","0","4.6"
"Sepsis and other infectious conditions of the newborn","2010","15.7","0","4.7"
"Sepsis and other infectious conditions of the newborn","2009","15.9","0","4.7"
"Sepsis and other infectious conditions of the newborn","2008","15.7","0","4.5"
"Sepsis and other infectious conditions of the newborn","2007","15.1","0","4.3"
"Sepsis and other infectious conditions of the newborn","2006","14.6","0","4.1"
"Sepsis and other infectious conditions of the newborn","2005","14.2","0","3.6"
"Sepsis and other infectious conditions of the newborn","2004","13.8","0","3.7"
"Sepsis and other infectious conditions of the newborn","2003","13.4","0","3.2"
"Sepsis and other infectious conditions of the newborn","2002","13.1","0","3.5"
"Sepsis and other infectious conditions of the newborn","2001","12.8","0","3.2"
"Sepsis and other infectious conditions of the newborn","2000","12.6","0","3"
"Other communicable, perinatal and nutritional conditions","2015","3.7","11.5","9"
"Other communicable, perinatal and nutritional conditions","2014","3.7","11.4","9"
"Other communicable, perinatal and nutritional conditions","2013","3.7","10.5","8.5"
"Other communicable, perinatal and nutritional conditions","2012","3.8","10.3","8.3"
"Other communicable, perinatal and nutritional conditions","2011","3.9","9.9","8.1"
"Other communicable, perinatal and nutritional conditions","2010","4","9.9","8.1"
"Other communicable, perinatal and nutritional conditions","2009","4","9.5","7.9"
"Other communicable, perinatal and nutritional conditions","2008","4","8.9","7.5"
"Other communicable, perinatal and nutritional conditions","2007","4","8.9","7.5"
"Other communicable, perinatal and nutritional conditions","2006","4.1","8.5","7.3"
"Other communicable, perinatal and nutritional conditions","2005","4.2","7","6.3"
"Other communicable, perinatal and nutritional conditions","2004","4.2","7.6","6.7"
"Other communicable, perinatal and nutritional conditions","2003","4.2","6.4","5.9"
"Other communicable, perinatal and nutritional conditions","2002","4.2","7.4","6.5"
"Other communicable, perinatal and nutritional conditions","2001","4.1","6.7","6"
"Other communicable, perinatal and nutritional conditions","2000","3.9","6.3","5.7"
"Congenital anomalies","2015","6","3.8","4.5"
"Congenital anomalies","2014","5.8","3.8","4.4"
"Congenital anomalies","2013","5.7","3.4","4.1"
"Congenital anomalies","2012","5.7","3.4","4.1"
"Congenital anomalies","2011","5.6","3.2","3.9"
"Congenital anomalies","2010","5.5","3.1","3.8"
"Congenital anomalies","2009","5.4","3","3.7"
"Congenital anomalies","2008","5.4","2.8","3.5"
"Congenital anomalies","2007","5.4","2.7","3.5"
"Congenital anomalies","2006","5.4","2.6","3.4"
"Congenital anomalies","2005","5.4","2.1","2.9"
"Congenital anomalies","2004","5.4","2.3","3.1"
"Congenital anomalies","2003","5.5","1.9","2.8"
"Congenital anomalies","2002","5.6","2.2","3.1"
"Congenital anomalies","2001","5.6","1.9","2.9"
"Congenital anomalies","2000","5.7","1.8","2.8"
"Other noncommunicable diseases","2015","0.1","4","2.8"
"Other noncommunicable diseases","2014","0.1","4","2.8"
"Other noncommunicable diseases","2013","0.1","3.7","2.6"
"Other noncommunicable diseases","2012","0.1","3.6","2.5"
"Other noncommunicable diseases","2011","0.1","3.5","2.5"
"Other noncommunicable diseases","2010","0.1","3.5","2.5"
"Other noncommunicable diseases","2009","0.1","3.3","2.4"
"Other noncommunicable diseases","2008","0.1","3.1","2.2"
"Other noncommunicable diseases","2007","0.1","3.1","2.2"
"Other noncommunicable diseases","2006","0.1","2.9","2.1"
"Other noncommunicable diseases","2005","0.1","2.4","1.8"
"Other noncommunicable diseases","2004","0.1","2.6","1.9"
"Other noncommunicable diseases","2003","0.1","2.2","1.7"
"Other noncommunicable diseases","2002","0.1","2.5","1.9"
"Other noncommunicable diseases","2001","0.1","2.3","1.7"
"Other noncommunicable diseases","2000","0.1","2.2","1.7"
"Injuries","2015","1.3","6.9","5.1"
"Injuries","2014","1.3","6.9","5.1"
"Injuries","2013","1.3","6.2","4.7"
"Injuries","2012","1.3","6.1","4.6"
"Injuries","2011","1.3","5.8","4.5"
"Injuries","2010","1.3","5.7","4.4"
"Injuries","2009","1.3","5.4","4.1"
"Injuries","2008","1.2","5","3.9"
"Injuries","2007","1.2","4.9","3.8"
"Injuries","2006","1.2","4.6","3.7"
"Injuries","2005","1.2","3.7","3.1"
"Injuries","2004","1.2","4","3.2"
"Injuries","2003","1.2","3.3","2.8"
"Injuries","2002","1.2","3.8","3.1"
"Injuries","2001","1.2","3.3","2.8"
"Injuries","2000","1.2","3.1","2.6"
