,,"Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)"
,,"Burkina Faso","Burkina Faso","Burkina Faso"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0","0.9","0.6"
"HIV/AIDS","2014","0","0.9","0.6"
"HIV/AIDS","2013","0","1","0.7"
"HIV/AIDS","2012","0","0.9","0.7"
"HIV/AIDS","2011","0","1.2","0.8"
"HIV/AIDS","2010","0","1.2","0.9"
"HIV/AIDS","2009","0","1","0.8"
"HIV/AIDS","2008","0","1.6","1.2"
"HIV/AIDS","2007","0","1.6","1.2"
"HIV/AIDS","2006","0.1","1.8","1.4"
"HIV/AIDS","2005","0.1","1.9","1.5"
"HIV/AIDS","2004","0.1","2.1","1.6"
"HIV/AIDS","2003","0.1","2.1","1.7"
"HIV/AIDS","2002","0.1","2.3","1.8"
"HIV/AIDS","2001","0.1","2.5","2"
"HIV/AIDS","2000","0.1","2.6","2"
"Diarrhoeal diseases","2015","0.4","11.6","8.2"
"Diarrhoeal diseases","2014","0.4","11.7","8.3"
"Diarrhoeal diseases","2013","0.4","11.7","8.4"
"Diarrhoeal diseases","2012","0.4","9.4","7.1"
"Diarrhoeal diseases","2011","0.4","10.2","7.5"
"Diarrhoeal diseases","2010","0.5","9.4","7"
"Diarrhoeal diseases","2009","0.5","7.4","5.9"
"Diarrhoeal diseases","2008","0.6","10.3","7.8"
"Diarrhoeal diseases","2007","0.6","11.4","8.7"
"Diarrhoeal diseases","2006","0.7","12.3","9.5"
"Diarrhoeal diseases","2005","0.7","12.4","9.6"
"Diarrhoeal diseases","2004","0.8","12.5","9.7"
"Diarrhoeal diseases","2003","0.9","11.6","9.2"
"Diarrhoeal diseases","2002","0.9","11.1","8.8"
"Diarrhoeal diseases","2001","0.9","10.9","8.7"
"Diarrhoeal diseases","2000","1","10.1","8.2"
"Pertussis","2015","0.2","1.3","1"
"Pertussis","2014","0.2","1.3","1"
"Pertussis","2013","0.2","1.3","1"
"Pertussis","2012","0.2","1.1","0.9"
"Pertussis","2011","0.2","1.3","1"
"Pertussis","2010","0.2","1.2","0.9"
"Pertussis","2009","0.1","0.8","0.7"
"Pertussis","2008","0.1","1","0.8"
"Pertussis","2007","0.1","1","0.8"
"Pertussis","2006","0.1","0.9","0.7"
"Pertussis","2005","0.1","0.9","0.7"
"Pertussis","2004","0.1","0.9","0.7"
