,,"Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)"
,,"Ghana","Ghana","Ghana"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0","2.3","1.2"
"HIV/AIDS","2014","0","2.3","1.3"
"HIV/AIDS","2013","0","2.5","1.4"
"HIV/AIDS","2012","0","2.5","1.4"
"HIV/AIDS","2011","0","3.4","1.9"
"HIV/AIDS","2010","0.1","4.5","2.6"
"HIV/AIDS","2009","0.1","4.8","2.8"
"HIV/AIDS","2008","0.1","4.9","2.9"
"HIV/AIDS","2007","0.1","5.4","3.2"
"HIV/AIDS","2006","0.1","5.9","3.5"
"HIV/AIDS","2005","0.1","6.1","3.7"
"HIV/AIDS","2004","0.1","6.2","3.8"
"HIV/AIDS","2003","0.1","6.3","3.8"
"HIV/AIDS","2002","0.1","5.6","3.6"
"HIV/AIDS","2001","0.1","5.4","3.5"
"HIV/AIDS","2000","0.1","5","3.3"
"Diarrhoeal diseases","2015","0.4","12.4","6.8"
"Diarrhoeal diseases","2014","0.4","12.6","6.9"
"Diarrhoeal diseases","2013","0.4","12.5","7"
"Diarrhoeal diseases","2012","0.4","12.6","7.1"
"Diarrhoeal diseases","2011","0.4","13.1","7.5"
"Diarrhoeal diseases","2010","0.5","13.1","7.6"
"Diarrhoeal diseases","2009","0.5","13.6","8"
"Diarrhoeal diseases","2008","0.5","13.9","8.3"
"Diarrhoeal diseases","2007","0.5","14.6","8.8"
"Diarrhoeal diseases","2006","0.5","14.6","8.9"
"Diarrhoeal diseases","2005","0.5","14.5","8.9"
"Diarrhoeal diseases","2004","0.6","14.4","8.9"
"Diarrhoeal diseases","2003","0.6","14.3","8.9"
"Diarrhoeal diseases","2002","0.7","13","8.5"
"Diarrhoeal diseases","2001","0.7","12.1","8"
"Diarrhoeal diseases","2000","0.7","11.4","7.7"
"Pertussis","2015","0.1","2.4","1.4"
"Pertussis","2014","0.1","2.4","1.4"
"Pertussis","2013","0.1","2.4","1.4"
"Pertussis","2012","0.1","2.4","1.4"
"Pertussis","2011","0.1","2.4","1.4"
"Pertussis","2010","0.1","2.3","1.3"
"Pertussis","2009","0.1","2.2","1.3"
"Pertussis","2008","0.1","2.1","1.3"
"Pertussis","2007","0.1","2.1","1.3"
"Pertussis","2006","0.2","2.1","1.3"
"Pertussis","2005","0.1","2","1.3"
"Pertussis","2004","0.2","2","1.3"
"Pertussis","2003","0.1","2","1.2"
"Pertussis","2002","0.1","1.7","1.1"
"Pertussis","2001","0.1","1.6","1.1"
"Pertussis","2000","0.1","1.4","1"
"Tetanus","2015","0.8","0","0.4"
"Tetanus","2014","0.9","0","0.4"
"Tetanus","2013","0.9","0","0.4"
"Tetanus","2012","1","0","0.4"
"Tetanus","2011","1","0","0.5"
"Tetanus","2010","1.1","0","0.5"
"Tetanus","2009","1.1","0","0.5"
"Tetanus","2008","1.2","0","0.5"
"Tetanus","2007","1.2","0","0.5"
"Tetanus","2006","1.2","0","0.5"
"Tetanus","2005","1.3","0","0.5"
"Tetanus","2004","1.4","0","0.6"
"Tetanus","2003","1.6","0","0.6"
"Tetanus","2002","1.7","0","0.6"
"Tetanus","2001","1.8","0","0.7"
"Tetanus","2000","2","0","0.7"
"Measles","2015","0","0.4","0.2"
"Measles","2014","0","0","0"
"Measles","2013","0","1.2","0.7"
"Measles","2012","0","1.4","0.8"
"Measles","2011","0","0.6","0.4"
"Measles","2010","0","1.4","0.8"
"Measles","2009","0","1.1","0.6"
"Measles","2008","0","1","0.6"
"Measles","2007","0","0.5","0.3"
"Measles","2006","0","1.6","0.9"
"Measles","2005","0","1.3","0.8"
"Measles","2004","0","0.7","0.4"
"Measles","2003","0","0.2","0.1"
"Measles","2002","0","10.2","6.5"
"Measles","2001","0","11.8","7.6"
"Measles","2000","0","16.9","11.2"
"Meningitis/encephalitis","2015","0","2.1","1.1"
"Meningitis/encephalitis","2014","0","2.1","1.1"
"Meningitis/encephalitis","2013","0","2.3","1.2"
"Meningitis/encephalitis","2012","0","3.4","1.9"
"Meningitis/encephalitis","2011","0","2.6","1.5"
"Meningitis/encephalitis","2010","0","2.5","1.4"
"Meningitis/encephalitis","2009","0","2.6","1.5"
"Meningitis/encephalitis","2008","0","3.9","2.3"
"Meningitis/encephalitis","2007","0","2.6","1.5"
"Meningitis/encephalitis","2006","0","2.7","1.6"
"Meningitis/encephalitis","2005","0","4","2.4"
"Meningitis/encephalitis","2004","0","3.9","2.4"
"Meningitis/encephalitis","2003","0","3.8","2.3"
"Meningitis/encephalitis","2002","0","2.2","1.4"
"Meningitis/encephalitis","2001","0","2.8","1.8"
"Meningitis/encephalitis","2000","0","2.6","1.7"
"Malaria","2015","0","21.7","11.5"
"Malaria","2014","0","23.6","12.6"
"Malaria","2013","0","25.2","13.7"
