,,"Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)"
,,"Cabo Verde","Cabo Verde","Cabo Verde"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0","1.3","0.7"
"HIV/AIDS","2014","0","1.3","0.7"
"HIV/AIDS","2013","0","1.2","0.6"
"HIV/AIDS","2012","0","2","1"
"HIV/AIDS","2011","0","2.6","1.3"
"HIV/AIDS","2010","0","3.3","1.6"
"HIV/AIDS","2009","0","3.2","1.6"
"HIV/AIDS","2008","0","3.2","1.6"
"HIV/AIDS","2007","0","4.5","2.2"
"HIV/AIDS","2006","0","4.6","2.3"
"HIV/AIDS","2005","0","5.3","2.8"
"HIV/AIDS","2004","0","5.2","2.7"
"HIV/AIDS","2003","0.1","5.6","2.9"
"HIV/AIDS","2002","0.1","5.2","2.7"
"HIV/AIDS","2001","0.1","4.8","2.5"
"HIV/AIDS","2000","0","4.2","2.2"
"Diarrhoeal diseases","2015","0","10.5","5.3"
"Diarrhoeal diseases","2014","0","10.6","5.3"
"Diarrhoeal diseases","2013","0","11","5.5"
"Diarrhoeal diseases","2012","0","11","5.4"
"Diarrhoeal diseases","2011","0","11","5.4"
"Diarrhoeal diseases","2010","0","11.7","5.7"
"Diarrhoeal diseases","2009","0","11.3","5.6"
"Diarrhoeal diseases","2008","0","11.7","5.8"
"Diarrhoeal diseases","2007","0","12.3","6.2"
"Diarrhoeal diseases","2006","0","13.3","6.6"
"Diarrhoeal diseases","2005","0","12.7","6.7"
"Diarrhoeal diseases","2004","0","13.7","7.2"
"Diarrhoeal diseases","2003","0","14.7","7.7"
"Diarrhoeal diseases","2002","0","16","8.3"
"Diarrhoeal diseases","2001","0","17.4","8.9"
"Diarrhoeal diseases","2000","0","18.7","9.7"
"Pertussis","2015","0","1.4","0.7"
"Pertussis","2014","0","1.4","0.7"
"Pertussis","2013","0","1.4","0.7"
"Pertussis","2012","0","1.4","0.7"
"Pertussis","2011","0","1.3","0.7"
"Pertussis","2010","0","1.3","0.6"
"Pertussis","2009","0","1.3","0.6"
"Pertussis","2008","0","1.3","0.6"
"Pertussis","2007","0","1.3","0.6"
"Pertussis","2006","0","0.7","0.3"
"Pertussis","2005","0","1","0.5"
"Pertussis","2004","0","0.6","0.3"
"Pertussis","2003","0","0.6","0.3"
"Pertussis","2002","0","0.5","0.3"
"Pertussis","2001","0","0.5","0.2"
"Pertussis","2000","0","0.5","0.3"
"Tetanus","2015","0.7","0","0.4"
"Tetanus","2014","0.7","0","0.4"
"Tetanus","2013","0.7","0","0.4"
"Tetanus","2012","0.7","0","0.4"
"Tetanus","2011","0.7","0","0.4"
"Tetanus","2010","0.9","0","0.4"
"Tetanus","2009","1.4","0","0.7"
"Tetanus","2008","1.4","0","0.7"
"Tetanus","2007","1.6","0","0.8"
"Tetanus","2006","1.8","0","0.9"
"Tetanus","2005","2.2","0","1"
"Tetanus","2004","1.7","0","0.8"
"Tetanus","2003","1.9","0","0.9"
"Tetanus","2002","2.9","0","1.4"
"Tetanus","2001","4.9","0","2.4"
"Tetanus","2000","2.7","0","1.3"
"Measles","2015","0","0","0"
"Measles","2014","0","0","0"
"Measles","2013","0","1.8","0.9"
"Measles","2012","0","1.7","0.9"
"Measles","2011","0","1.7","0.8"
"Measles","2010","0","1.7","0.8"
"Measles","2009","0","4.9","2.4"
"Measles","2008","0","4.8","2.4"
"Measles","2007","0","4.6","2.3"
"Measles","2006","0","4.5","2.3"
"Measles","2005","0","14.7","7.7"
"Measles","2004","0","14.6","7.6"
"Measles","2003","0","14.1","7.3"
"Measles","2002","0","13.2","6.9"
"Measles","2001","0","12.2","6.3"
"Measles","2000","0","12.2","6.3"
"Meningitis/encephalitis","2015","0","2.6","1.3"
"Meningitis/encephalitis","2014","0","2.6","1.3"
"Meningitis/encephalitis","2013","0","2.7","1.4"
"Meningitis/encephalitis","2012","0","2.8","1.4"
"Meningitis/encephalitis","2011","0","2.8","1.4"
"Meningitis/encephalitis","2010","0","2.3","1.1"
"Meningitis/encephalitis","2009","0","2.3","1.2"
"Meningitis/encephalitis","2008","0","2.4","1.2"
"Meningitis/encephalitis","2007","0","2.4","1.2"
"Meningitis/encephalitis","2006","0","2.4","1.2"
"Meningitis/encephalitis","2005","0","2.1","1.1"
"Meningitis/encephalitis","2004","0","2.1","1.1"
"Meningitis/encephalitis","2003","0","2.2","1.1"
"Meningitis/encephalitis","2002","0","2.2","1.2"
"Meningitis/encephalitis","2001","0","2.3","1.2"
"Meningitis/encephalitis","2000","0","2.4","1.3"
"Malaria","2015","0","0","0"
"Malaria","2014","0","0","0"
"Malaria","2013","0","0","0"
"Malaria","2012","0","0","0"
"Malaria","2011","0","0.8","0.4"
"Malaria","2010","0","0.2","0.1"
"Malaria","2009","0","0.4","0.2"
"Malaria","2008","0","0.4","0.2"
"Malaria","2007","0","0.4","0.2"
"Malaria","2006","0","2","1"
"Malaria","2005","0","0.3","0.2"
"Malaria","2004","0","0.7","0.4"
"Malaria","2003","0","0.7","0.4"
"Malaria","2002","0","0.3","0.2"
"Malaria","2001","0","0","0"
"Malaria","2000","0","0","0"
"Acute lower respiratory infections","2015","5.4","21.9","13.7"
"Acute lower respiratory infections","2014","5.4","22.2","13.8"
"Acute lower respiratory infections","2013","5.4","22.7","14.1"
"Acute lower respiratory infections","2012","5.5","23","14.1"
"Acute lower respiratory infections","2011","5.5","23.5","14.3"
"Acute lower respiratory infections","2010","5.5","26.3","15.7"
"Acute lower respiratory infections","2009","5.4","26.3","15.7"
"Acute lower respiratory infections","2008","5.4","27","16.1"
"Acute lower respiratory infections","2007","5.2","27.1","16.2"
"Acute lower respiratory infections","2006","5.1","27.4","16.2"
"Acute lower respiratory infections","2005","4.9","24.5","15.2"
"Acute lower respiratory infections","2004","4.7","24.6","15.1"
"Acute lower respiratory infections","2003","4.5","24.9","15.1"
"Acute lower respiratory infections","2002","4.5","25.7","15.5"
"Acute lower respiratory infections","2001","4.5","26.8","16"
"Acute lower respiratory infections","2000","4.7","27.7","16.7"
"Prematurity","2015","38.9","3.1","20.9"
"Prematurity","2014","39.1","3","21"
"Prematurity","2013","39.3","2.9","21"
"Prematurity","2012","39.4","2.8","21.3"
"Prematurity","2011","39.4","2.6","21.4"
"Prematurity","2010","39.4","1.8","21"
"Prematurity","2009","39.3","1.7","20.7"
"Prematurity","2008","39","1.7","20.5"
"Prematurity","2007","38.7","1.7","20.1"
"Prematurity","2006","38.1","1.6","19.9"
"Prematurity","2005","37.5","1.4","18.5"
"Prematurity","2004","36.8","1.4","18.3"
"Prematurity","2003","36.2","1.3","18"
"Prematurity","2002","36.2","1.2","18.1"
"Prematurity","2001","36.6","1.1","18.4"
"Prematurity","2000","37.4","1","18.5"
"Birth asphyxia and birth trauma","2015","16.1","1.1","8.5"
"Birth asphyxia and birth trauma","2014","16.2","1.1","8.6"
"Birth asphyxia and birth trauma","2013","16.4","1","8.7"
"Birth asphyxia and birth trauma","2012","16.6","1","8.9"
"Birth asphyxia and birth trauma","2011","16.8","0.9","9"
"Birth asphyxia and birth trauma","2010","17","0.6","9"
"Birth asphyxia and birth trauma","2009","17.2","0.6","9"
"Birth asphyxia and birth trauma","2008","17.3","0.6","9"
"Birth asphyxia and birth trauma","2007","17.4","0.6","9"
"Birth asphyxia and birth trauma","2006","17.4","0.6","9"
"Birth asphyxia and birth trauma","2005","17.4","0.5","8.5"
"Birth asphyxia and birth trauma","2004","17.4","0.5","8.6"
"Birth asphyxia and birth trauma","2003","17.4","0.5","8.6"
"Birth asphyxia and birth trauma","2002","17.4","0.4","8.6"
"Birth asphyxia and birth trauma","2001","17.6","0.4","8.7"
"Birth asphyxia and birth trauma","2000","18","0.4","8.8"
"Sepsis and other infectious conditions of the newborn","2015","8.9","0","4.5"
"Sepsis and other infectious conditions of the newborn","2014","8.9","0","4.4"
