,,"Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)"
,,"Sierra Leone","Sierra Leone","Sierra Leone"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0","0.6","0.4"
"HIV/AIDS","2014","0","0.5","0.4"
"HIV/AIDS","2013","0","0.8","0.6"
"HIV/AIDS","2012","0","0.8","0.6"
"HIV/AIDS","2011","0","0.8","0.7"
"HIV/AIDS","2010","0","0.9","0.8"
"HIV/AIDS","2009","0","1.4","1"
"HIV/AIDS","2008","0","1.4","1.1"
"HIV/AIDS","2007","0","1.6","1.2"
"HIV/AIDS","2006","0","1.5","1.1"
"HIV/AIDS","2005","0","1.4","1.1"
"HIV/AIDS","2004","0","1.3","1"
"HIV/AIDS","2003","0","1.1","0.8"
"HIV/AIDS","2002","0","0.9","0.7"
"HIV/AIDS","2001","0","0.8","0.6"
"HIV/AIDS","2000","0","0.6","0.5"
"Diarrhoeal diseases","2015","0.6","14.5","10.5"
"Diarrhoeal diseases","2014","0.6","11.8","9.1"
"Diarrhoeal diseases","2013","0.7","15.9","11.6"
"Diarrhoeal diseases","2012","0.7","14","10.7"
"Diarrhoeal diseases","2011","0.8","11.1","9"
"Diarrhoeal diseases","2010","0.9","10.6","8.6"
"Diarrhoeal diseases","2009","0.9","15.5","11.9"
"Diarrhoeal diseases","2008","1","16.5","12.7"
"Diarrhoeal diseases","2007","1.2","17.6","13.6"
"Diarrhoeal diseases","2006","1.3","17.3","13.5"
"Diarrhoeal diseases","2005","1.3","17.9","14"
"Diarrhoeal diseases","2004","1.4","18.3","14.4"
"Diarrhoeal diseases","2003","1.4","16.9","13.6"
"Diarrhoeal diseases","2002","1.5","17.3","14"
"Diarrhoeal diseases","2001","1.6","17.6","14.3"
"Diarrhoeal diseases","2000","1.6","16.4","13.6"
"Pertussis","2015","0.1","0.9","0.7"
"Pertussis","2014","0.1","0.7","0.6"
"Pertussis","2013","0.1","0.9","0.7"
"Pertussis","2012","0.1","0.8","0.6"
"Pertussis","2011","0.1","0.6","0.5"
"Pertussis","2010","0.1","0.6","0.5"
"Pertussis","2009","0.1","0.8","0.6"
"Pertussis","2008","0.1","0.7","0.6"
"Pertussis","2007","0.1","0.8","0.6"
"Pertussis","2006","0.1","0.7","0.6"
"Pertussis","2005","0.1","0.7","0.6"
"Pertussis","2004","0.1","0.7","0.6"
"Pertussis","2003","0.1","0.6","0.5"
"Pertussis","2002","0.1","0.7","0.5"
"Pertussis","2001","0.1","0.7","0.6"
"Pertussis","2000","0.1","0.6","0.5"
"Tetanus","2015","1.1","0","0.3"
"Tetanus","2014","1.2","0","0.3"
"Tetanus","2013","1.3","0","0.4"
"Tetanus","2012","1.4","0","0.4"
"Tetanus","2011","1.5","0","0.3"
"Tetanus","2010","1.5","0","0.3"
"Tetanus","2009","1.5","0","0.4"
"Tetanus","2008","1.6","0","0.4"
"Tetanus","2007","1.8","0","0.4"
"Tetanus","2006","2.1","0","0.5"
"Tetanus","2005","2.4","0","0.6"
"Tetanus","2004","2.7","0","0.6"
"Tetanus","2003","3.1","0","0.7"
"Tetanus","2002","3.6","0","0.8"
"Tetanus","2001","4.3","0","0.9"
"Tetanus","2000","5.1","0","1"
"Measles","2015","0","2.9","2.1"
"Measles","2014","0","21.2","16.1"
"Measles","2013","0","0.9","0.6"
"Measles","2012","0","11.6","8.7"
"Measles","2011","0","27.6","21.9"
"Measles","2010","0","29.4","23.6"
"Measles","2009","0","1.6","1.2"
"Measles","2008","0","1.4","1.1"
"Measles","2007","0","0.4","0.3"
"Measles","2006","0","1.7","1.3"
"Measles","2005","0","1","0.8"
"Measles","2004","0","0.1","0.1"
"Measles","2003","0","8.9","7"
"Measles","2002","0","8.9","7"
"Measles","2001","0","10.1","8"
"Measles","2000","0","19.5","15.8"
"Meningitis/encephalitis","2015","0","2","1.4"
"Meningitis/encephalitis","2014","0","1.6","1.2"
"Meningitis/encephalitis","2013","0","1.5","1.1"
"Meningitis/encephalitis","2012","0","1.3","1"
"Meningitis/encephalitis","2011","0","1.2","1"
"Meningitis/encephalitis","2010","0","1.9","1.5"
"Meningitis/encephalitis","2009","0","2.7","2"
"Meningitis/encephalitis","2008","0","2.8","2.1"
"Meningitis/encephalitis","2007","0","3.2","2.4"
"Meningitis/encephalitis","2006","0","4.2","3.2"
"Meningitis/encephalitis","2005","0","4.2","3.2"
"Meningitis/encephalitis","2004","0","4.2","3.2"
"Meningitis/encephalitis","2003","0","3.7","2.9"
"Meningitis/encephalitis","2002","0","3.7","2.9"
"Meningitis/encephalitis","2001","0","3.6","2.9"
"Meningitis/encephalitis","2000","0","3.2","2.6"
"Malaria","2015","0","27.7","19.8"
"Malaria","2014","0","25","19"
"Malaria","2013","0","34.8","25.1"
"Malaria","2012","0","34.1","25.6"
"Malaria","2011","0","29.9","23.6"
"Malaria","2010","0","28.5","22.9"
"Malaria","2009","0","39.2","29.4"
"Malaria","2008","0","37.9","28.6"
"Malaria","2007","0","36.7","27.8"
"Malaria","2006","0","34.5","26.3"
"Malaria","2005","0","35.7","27.4"
"Malaria","2004","0","37.4","28.7"
"Malaria","2003","0","35.4","27.8"
"Malaria","2002","0","36.2","28.6"
"Malaria","2001","0","35.8","28.4"
"Malaria","2000","0","32","26"
"Acute lower respiratory infections","2015","6.3","17.2","14"
"Acute lower respiratory infections","2014","6.3","13.3","11.6"
"Acute lower respiratory infections","2013","6.4","14.9","12.5"
"Acute lower respiratory infections","2012","6.4","12.6","11"
"Acute lower respiratory infections","2011","6.5","10.2","9.4"
"Acute lower respiratory infections","2010","6.5","11.8","10.7"
"Acute lower respiratory infections","2009","6.6","16.5","14"
"Acute lower respiratory infections","2008","6.7","16.9","14.4"
"Acute lower respiratory infections","2007","6.7","17.8","15.1"
"Acute lower respiratory infections","2006","6.8","19.7","16.6"
"Acute lower respiratory infections","2005","6.8","19.3","16.4"
"Acute lower respiratory infections","2004","6.8","18.9","16.1"
"Acute lower respiratory infections","2003","6.8","16.7","14.6"
"Acute lower respiratory infections","2002","6.9","16.4","14.4"
"Acute lower respiratory infections","2001","6.9","16","14.1"
"Acute lower respiratory infections","2000","6.9","14.2","12.8"
"Prematurity","2015","30","2.9","10.7"
"Prematurity","2014","29.7","2.2","8.8"
"Prematurity","2013","29.3","2.6","10.1"
"Prematurity","2012","29.1","2.2","8.9"
"Prematurity","2011","28.6","1.6","7.3"
"Prematurity","2010","28","1.5","6.7"
"Prematurity","2009","27.3","2.1","8.4"
"Prematurity","2008","27.1","2.1","8.2"
"Prematurity","2007","27.6","2.1","8.3"
"Prematurity","2006","28.6","1.9","8.3"
"Prematurity","2005","29.5","1.9","8.4"
"Prematurity","2004","30","1.8","8.4"
"Prematurity","2003","30.1","1.6","7.7"
"Prematurity","2002","30.4","1.6","7.6"
"Prematurity","2001","30.9","1.5","7.6"
"Prematurity","2000","31.1","1.4","7"
"Birth asphyxia and birth trauma","2015","28.9","1.2","9.2"
"Birth asphyxia and birth trauma","2014","29.2","0.9","7.7"
"Birth asphyxia and birth trauma","2013","29.4","1.1","9"
"Birth asphyxia and birth trauma","2012","29.6","0.9","8.1"
"Birth asphyxia and birth trauma","2011","29.8","0.7","6.7"
"Birth asphyxia and birth trauma","2010","29.8","0.6","6.4"
"Birth asphyxia and birth trauma","2009","29.8","0.8","8.1"
"Birth asphyxia and birth trauma","2008","29.6","0.8","7.9"
"Birth asphyxia and birth trauma","2007","29.1","0.8","7.7"
"Birth asphyxia and birth trauma","2006","28.4","0.8","7.3"
"Birth asphyxia and birth trauma","2005","27.7","0.8","7.1"
"Birth asphyxia and birth trauma","2004","27.2","0.7","6.9"
"Birth asphyxia and birth trauma","2003","27.1","0.6","6.3"
"Birth asphyxia and birth trauma","2002","27.2","0.6","6.2"
"Birth asphyxia and birth trauma","2001","27.2","0.6","6.1"
"Birth asphyxia and birth trauma","2000","27.6","0.5","5.6"
"Sepsis and other infectious conditions of the newborn","2015","22","0","6.3"
"Sepsis and other infectious conditions of the newborn","2014","22.1","0","5.3"
"Sepsis and other infectious conditions of the newborn","2013","22.1","0","6.2"
"Sepsis and other infectious conditions of the newborn","2012","22.1","0","5.5"
"Sepsis and other infectious conditions of the newborn","2011","22.2","0","4.6"
"Sepsis and other infectious conditions of the newborn","2010","22.5","0","4.5"
"Sepsis and other infectious conditions of the newborn","2009","22.9","0","5.7"
"Sepsis and other infectious conditions of the newborn","2008","22.8","0","5.6"
"Sepsis and other infectious conditions of the newborn","2007","22.3","0","5.4"
"Sepsis and other infectious conditions of the newborn","2006","21.6","0","5.1"
"Sepsis and other infectious conditions of the newborn","2005","21.2","0","5"
"Sepsis and other infectious conditions of the newborn","2004","20.8","0","4.8"
"Sepsis and other infectious conditions of the newborn","2003","20.1","0","4.3"
"Sepsis and other infectious conditions of the newborn","2002","18.9","0","4"
"Sepsis and other infectious conditions of the newborn","2001","17.5","0","3.6"
"Sepsis and other infectious conditions of the newborn","2000","16","0","3"
"Other communicable, perinatal and nutritional conditions","2015","4.8","14.2","11.5"
"Other communicable, perinatal and nutritional conditions","2014","4.8","10.8","9.4"
"Other communicable, perinatal and nutritional conditions","2013","4.8","12.7","10.5"
"Other communicable, perinatal and nutritional conditions","2012","4.8","10.4","9"
"Other communicable, perinatal and nutritional conditions","2011","4.8","7.8","7.2"
"Other communicable, perinatal and nutritional conditions","2010","4.9","6.9","6.5"
"Other communicable, perinatal and nutritional conditions","2009","5.1","9.5","8.4"
"Other communicable, perinatal and nutritional conditions","2008","5.2","9.5","8.4"
"Other communicable, perinatal and nutritional conditions","2007","5.1","9.4","8.4"
"Other communicable, perinatal and nutritional conditions","2006","4.9","8.8","7.8"
"Other communicable, perinatal and nutritional conditions","2005","4.7","8.5","7.6"
"Other communicable, perinatal and nutritional conditions","2004","4.5","8.2","7.4"
"Other communicable, perinatal and nutritional conditions","2003","4.4","7.2","6.6"
"Other communicable, perinatal and nutritional conditions","2002","4.3","6.9","6.3"
"Other communicable, perinatal and nutritional conditions","2001","4.1","6.6","6.1"
"Other communicable, perinatal and nutritional conditions","2000","4","5.8","5.5"
"Congenital anomalies","2015","5.3","3.9","4.3"
"Congenital anomalies","2014","5.1","3","3.5"
"Congenital anomalies","2013","5","3.5","3.9"
"Congenital anomalies","2012","4.9","2.9","3.4"
"Congenital anomalies","2011","4.8","2.1","2.7"
"Congenital anomalies","2010","4.7","1.9","2.4"
"Congenital anomalies","2009","4.8","2.6","3.1"
"Congenital anomalies","2008","4.9","2.6","3.1"
"Congenital anomalies","2007","5","2.5","3.1"
"Congenital anomalies","2006","5.1","2.4","3"
"Congenital anomalies","2005","5.2","2.3","3"
"Congenital anomalies","2004","5.5","2.2","3"
"Congenital anomalies","2003","5.8","1.9","2.7"
"Congenital anomalies","2002","6.2","1.8","2.8"
"Congenital anomalies","2001","6.5","1.8","2.7"
"Congenital anomalies","2000","6.5","1.6","2.5"
"Other noncommunicable diseases","2015","0.2","4.9","3.6"
"Other noncommunicable diseases","2014","0.2","3.7","2.9"
"Other noncommunicable diseases","2013","0.2","4.4","3.2"
"Other noncommunicable diseases","2012","0.2","3.6","2.7"
"Other noncommunicable diseases","2011","0.2","2.7","2.2"
"Other noncommunicable diseases","2010","0.2","2.4","1.9"
"Other noncommunicable diseases","2009","0.1","3.3","2.5"
"Other noncommunicable diseases","2008","0.1","3.3","2.5"
"Other noncommunicable diseases","2007","0.1","3.2","2.5"
"Other noncommunicable diseases","2006","0.1","3","2.3"
"Other noncommunicable diseases","2005","0.1","2.9","2.3"
"Other noncommunicable diseases","2004","0.1","2.8","2.2"
"Other noncommunicable diseases","2003","0.1","2.5","2"
"Other noncommunicable diseases","2002","0.1","2.4","1.9"
"Other noncommunicable diseases","2001","0.1","2.3","1.8"
"Other noncommunicable diseases","2000","0.1","2","1.6"
"Injuries","2015","0.7","6.9","5.1"
"Injuries","2014","0.7","5.2","4.1"
"Injuries","2013","0.7","6","4.5"
"Injuries","2012","0.7","4.8","3.8"
"Injuries","2011","0.8","3.5","3"
"Injuries","2010","0.8","3.1","2.6"
"Injuries","2009","0.8","4.1","3.3"
"Injuries","2008","0.9","4","3.3"
"Injuries","2007","0.9","3.9","3.2"
"Injuries","2006","0.9","3.6","3"
"Injuries","2005","0.9","3.5","2.9"
"Injuries","2004","0.9","3.3","2.7"
"Injuries","2003","0.9","2.9","2.4"
"Injuries","2002","0.9","2.8","2.4"
"Injuries","2001","0.9","2.6","2.3"
"Injuries","2000","0.9","2.3","2"
