,,"Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)"
,,"Cameroon","Cameroon","Cameroon"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0.1","5.7","4"
"HIV/AIDS","2014","0.1","5.7","4.1"
"HIV/AIDS","2013","0.2","6","4.3"
"HIV/AIDS","2012","0.2","6.5","4.7"
"HIV/AIDS","2011","0.2","6.7","4.9"
"HIV/AIDS","2010","0.2","7.2","5.3"
"HIV/AIDS","2009","0.2","7.9","5.9"
"HIV/AIDS","2008","0.2","8","6"
"HIV/AIDS","2007","0.2","8.1","6.1"
"HIV/AIDS","2006","0.2","8","6.1"
"HIV/AIDS","2005","0.2","8","6"
"HIV/AIDS","2004","0.2","7.8","5.9"
"HIV/AIDS","2003","0.2","7.6","5.8"
"HIV/AIDS","2002","0.2","7.4","5.7"
"HIV/AIDS","2001","0.2","6.5","5.1"
"HIV/AIDS","2000","0.2","6.4","5"
"Diarrhoeal diseases","2015","0.4","15.8","11.3"
"Diarrhoeal diseases","2014","0.4","16.3","11.7"
"Diarrhoeal diseases","2013","0.5","17.8","12.9"
"Diarrhoeal diseases","2012","0.5","18.1","13.2"
"Diarrhoeal diseases","2011","0.5","17.4","12.8"
"Diarrhoeal diseases","2010","0.5","17.2","12.7"
"Diarrhoeal diseases","2009","0.5","17","12.7"
"Diarrhoeal diseases","2008","0.5","15.3","11.5"
"Diarrhoeal diseases","2007","0.6","15","11.3"
"Diarrhoeal diseases","2006","0.6","15.1","11.4"
"Diarrhoeal diseases","2005","0.6","15.1","11.5"
"Diarrhoeal diseases","2004","0.7","15.6","11.9"
"Diarrhoeal diseases","2003","0.7","16.4","12.6"
"Diarrhoeal diseases","2002","0.8","17.2","13.3"
"Diarrhoeal diseases","2001","0.8","16.3","12.9"
"Diarrhoeal diseases","2000","0.8","18","14.1"
"Pertussis","2015","0.2","1.4","1.1"
"Pertussis","2014","0.2","1.4","1.1"
"Pertussis","2013","0.2","1.4","1.1"
"Pertussis","2012","0.2","1.4","1.1"
"Pertussis","2011","0.2","1.4","1.1"
"Pertussis","2010","0.2","1.3","1"
"Pertussis","2009","0.2","1.3","1"
"Pertussis","2008","0.2","1.2","1"
"Pertussis","2007","0.2","1.2","0.9"
"Pertussis","2006","0.2","1.2","0.9"
"Pertussis","2005","0.2","1.2","0.9"
"Pertussis","2004","0.2","1.2","0.9"
"Pertussis","2003","0.2","1.1","0.9"
"Pertussis","2002","0.2","1.1","0.9"
"Pertussis","2001","0.2","1","0.8"
"Pertussis","2000","0.2","1","0.8"
"Tetanus","2015","0.9","0","0.3"
"Tetanus","2014","0.9","0","0.3"
"Tetanus","2013","0.9","0","0.3"
"Tetanus","2012","1","0","0.3"
"Tetanus","2011","1","0","0.3"
"Tetanus","2010","1","0","0.3"
"Tetanus","2009","1","0","0.3"
"Tetanus","2008","1.1","0","0.3"
"Tetanus","2007","1.2","0","0.3"
"Tetanus","2006","1.3","0","0.3"
"Tetanus","2005","1.4","0","0.4"
"Tetanus","2004","1.6","0","0.4"
"Tetanus","2003","1.8","0","0.4"
"Tetanus","2002","2","0","0.5"
"Tetanus","2001","2.3","0","0.5"
"Tetanus","2000","2.6","0","0.6"
"Measles","2015","0","0.2","0.2"
"Measles","2014","0","0.7","0.5"
"Measles","2013","0","0.3","0.2"
"Measles","2012","0","0.7","0.5"
"Measles","2011","0","0.5","0.4"
"Measles","2010","0","0.2","0.2"
"Measles","2009","0","0.5","0.3"
"Measles","2008","0","0.3","0.2"
"Measles","2007","0","0.4","0.3"
"Measles","2006","0","0.6","0.5"
"Measles","2005","0","0.8","0.6"
"Measles","2004","0","0.5","0.4"
"Measles","2003","0","0.2","0.2"
"Measles","2002","0","0.3","0.2"
"Measles","2001","0","9","7"
"Measles","2000","0","6.1","4.8"
"Meningitis/encephalitis","2015","0","2.6","1.8"
"Meningitis/encephalitis","2014","0","2.6","1.8"
"Meningitis/encephalitis","2013","0","2.5","1.8"
"Meningitis/encephalitis","2012","0","2.4","1.7"
"Meningitis/encephalitis","2011","0","3.1","2.3"
"Meningitis/encephalitis","2010","0","3.3","2.4"
"Meningitis/encephalitis","2009","0","3.2","2.3"
"Meningitis/encephalitis","2008","0","6.1","4.5"
"Meningitis/encephalitis","2007","0","5.7","4.3"
"Meningitis/encephalitis","2006","0","3.6","2.7"
"Meningitis/encephalitis","2005","0","3.5","2.6"
"Meningitis/encephalitis","2004","0","3.4","2.6"
"Meningitis/encephalitis","2003","0","3.5","2.6"
"Meningitis/encephalitis","2002","0","3.5","2.7"
"Meningitis/encephalitis","2001","0","4.9","3.8"
"Meningitis/encephalitis","2000","0","3.4","2.6"
"Malaria","2015","0","14","9.9"
"Malaria","2014","0","13.9","9.9"
"Malaria","2013","0","13.9","10"
"Malaria","2012","0","14.1","10.2"
"Malaria","2011","0","14.2","10.3"
"Malaria","2010","0","15.5","11.3"
"Malaria","2009","0","17.8","13.1"
