,,"Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)"
,,"Mali","Mali","Mali"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0","2","1.4"
"HIV/AIDS","2014","0","2","1.4"
"HIV/AIDS","2013","0","1.9","1.3"
"HIV/AIDS","2012","0","1.8","1.2"
"HIV/AIDS","2011","0","1.7","1.2"
"HIV/AIDS","2010","0","1.6","1.1"
"HIV/AIDS","2009","0","1.6","1.1"
"HIV/AIDS","2008","0","1.6","1.1"
"HIV/AIDS","2007","0","1.6","1.1"
"HIV/AIDS","2006","0","1.6","1.2"
"HIV/AIDS","2005","0","1.6","1.2"
"HIV/AIDS","2004","0","1.6","1.2"
"HIV/AIDS","2003","0","1.6","1.2"
"HIV/AIDS","2002","0","1.6","1.2"
"HIV/AIDS","2001","0","1.5","1.1"
"HIV/AIDS","2000","0","1.5","1.2"
"Diarrhoeal diseases","2015","0.7","13.8","9.4"
"Diarrhoeal diseases","2014","0.7","14.4","9.9"
"Diarrhoeal diseases","2013","0.7","15.4","10.7"
"Diarrhoeal diseases","2012","0.7","16.4","11.4"
"Diarrhoeal diseases","2011","0.7","17.4","12.2"
"Diarrhoeal diseases","2010","0.7","17.4","12.3"
"Diarrhoeal diseases","2009","0.7","18","12.8"
"Diarrhoeal diseases","2008","0.8","18.8","13.3"
"Diarrhoeal diseases","2007","0.8","18.6","13.2"
"Diarrhoeal diseases","2006","0.8","17.6","12.7"
"Diarrhoeal diseases","2005","0.9","17.5","12.7"
"Diarrhoeal diseases","2004","0.9","17.7","13"
"Diarrhoeal diseases","2003","1","18.5","13.7"
"Diarrhoeal diseases","2002","1","20","14.9"
"Diarrhoeal diseases","2001","1","19.3","14.7"
"Diarrhoeal diseases","2000","1","21","15.8"
"Pertussis","2015","0.1","1.2","0.8"
"Pertussis","2014","0.1","1.2","0.8"
"Pertussis","2013","0.1","1.2","0.8"
"Pertussis","2012","0.1","1.2","0.8"
"Pertussis","2011","0.1","1.1","0.8"
"Pertussis","2010","0.1","1","0.7"
"Pertussis","2009","0.1","1","0.7"
"Pertussis","2008","0.1","1","0.7"
"Pertussis","2007","0.1","0.9","0.7"
"Pertussis","2006","0.1","0.9","0.6"
"Pertussis","2005","0.1","0.8","0.6"
"Pertussis","2004","0.1","0.8","0.6"
"Pertussis","2003","0.1","0.8","0.6"
"Pertussis","2002","0.1","0.7","0.6"
"Pertussis","2001","0.1","0.7","0.5"
"Pertussis","2000","0.1","0.7","0.5"
"Tetanus","2015","1.5","0","0.5"
"Tetanus","2014","1.6","0","0.5"
"Tetanus","2013","1.6","0","0.5"
"Tetanus","2012","1.7","0","0.5"
"Tetanus","2011","1.7","0","0.6"
"Tetanus","2010","1.8","0","0.6"
"Tetanus","2009","1.9","0","0.6"
"Tetanus","2008","2","0","0.6"
"Tetanus","2007","2.2","0","0.7"
"Tetanus","2006","2.5","0","0.7"
"Tetanus","2005","3","0","0.9"
"Tetanus","2004","3.8","0","1.1"
"Tetanus","2003","4.9","0","1.3"
"Tetanus","2002","6","0","1.6"
"Tetanus","2001","7.1","0","1.8"
"Tetanus","2000","8.3","0","2.2"
"Measles","2015","0","0.8","0.6"
"Measles","2014","0","1.6","1.1"
"Measles","2013","0","1.2","0.8"
"Measles","2012","0","0.9","0.6"
"Measles","2011","0","2.4","1.6"
"Measles","2010","0","4.3","3"
"Measles","2009","0","5.1","3.6"
"Measles","2008","0","0.4","0.3"
"Measles","2007","0","1","0.7"
"Measles","2006","0","0.7","0.5"
"Measles","2005","0","0.2","0.1"
"Measles","2004","0","1.2","0.9"
"Measles","2003","0","0.8","0.6"
"Measles","2002","0","0.1","0.1"
"Measles","2001","0","8.1","6.1"
"Measles","2000","0","4.2","3.1"
"Meningitis/encephalitis","2015","0","3.1","2"
"Meningitis/encephalitis","2014","0","3.1","2.1"
"Meningitis/encephalitis","2013","0","3.3","2.3"
"Meningitis/encephalitis","2012","0","4.2","2.9"
"Meningitis/encephalitis","2011","0","3.2","2.2"
"Meningitis/encephalitis","2010","0","3.7","2.6"
"Meningitis/encephalitis","2009","0","3.7","2.6"
"Meningitis/encephalitis","2008","0","5.6","3.9"
"Meningitis/encephalitis","2007","0","4.1","2.8"
"Meningitis/encephalitis","2006","0","6.4","4.5"
"Meningitis/encephalitis","2005","0","6.4","4.5"
"Meningitis/encephalitis","2004","0","6.2","4.5"
"Meningitis/encephalitis","2003","0","6.2","4.5"
"Meningitis/encephalitis","2002","0","4.2","3.1"
"Meningitis/encephalitis","2001","0","3.9","2.9"
"Meningitis/encephalitis","2000","0","4","3"
"Malaria","2015","0","35.2","23.5"
"Malaria","2014","0","34.1","23"
"Malaria","2013","0","32.5","22"
"Malaria","2012","0","29.9","20.3"
"Malaria","2011","0","26.8","18.3"
"Malaria","2010","0","23.5","16.3"
"Malaria","2009","0","22.9","16"
"Malaria","2008","0","25.1","17.4"
"Malaria","2007","0","27.8","19.5"
"Malaria","2006","0","29.9","21.1"
"Malaria","2005","0","32.5","23.1"
"Malaria","2004","0","33.4","24.1"
"Malaria","2003","0","33.6","24.5"
"Malaria","2002","0","34.1","24.9"
"Malaria","2001","0","30.7","23"
"Malaria","2000","0","31.6","23.4"
"Acute lower respiratory infections","2015","6.8","16.1","13"
"Acute lower respiratory infections","2014","6.9","16.1","13.1"
"Acute lower respiratory infections","2013","6.9","16.9","13.6"
"Acute lower respiratory infections","2012","6.9","17.7","14.2"
"Acute lower respiratory infections","2011","6.9","19.1","15.3"
"Acute lower respiratory infections","2010","7","21.4","17"
"Acute lower respiratory infections","2009","7","21.2","16.9"
"Acute lower respiratory infections","2008","7","21.2","16.9"
"Acute lower respiratory infections","2007","7","21.8","17.4"
"Acute lower respiratory infections","2006","7.1","21.2","17.1"
"Acute lower respiratory infections","2005","7.1","20.7","16.8"
"Acute lower respiratory infections","2004","7.1","20","16.4"
"Acute lower respiratory infections","2003","7.1","19.8","16.3"
"Acute lower respiratory infections","2002","7","20.3","16.7"
"Acute lower respiratory infections","2001","6.9","18.6","15.7"
"Acute lower respiratory infections","2000","6.7","19.3","16"
"Prematurity","2015","28.8","2.3","11.1"
"Prematurity","2014","28.6","2.3","10.9"
"Prematurity","2013","28.4","2.3","10.8"
"Prematurity","2012","28.1","2.4","10.6"
"Prematurity","2011","27.8","2.4","10.4"
"Prematurity","2010","27.6","2.3","10.1"
"Prematurity","2009","27.3","2.3","9.8"
"Prematurity","2008","27.1","2.3","9.9"
"Prematurity","2007","27.2","2.1","9.6"
"Prematurity","2006","27.4","1.9","9.4"
"Prematurity","2005","28","1.8","9.4"
"Prematurity","2004","29","1.7","9.3"
"Prematurity","2003","30.5","1.7","9.5"
"Prematurity","2002","31.5","1.7","9.7"
"Prematurity","2001","32.1","1.6","9.2"
"Prematurity","2000","32","1.6","9.5"
"Birth asphyxia and birth trauma","2015","29","1.3","10.5"
"Birth asphyxia and birth trauma","2014","29","1.3","10.4"
"Birth asphyxia and birth trauma","2013","29.2","1.3","10.3"
"Birth asphyxia and birth trauma","2012","29.3","1.3","10.3"
"Birth asphyxia and birth trauma","2011","29.4","1.3","10.2"
"Birth asphyxia and birth trauma","2010","29.5","1.3","10"
"Birth asphyxia and birth trauma","2009","29.5","1.3","9.8"
"Birth asphyxia and birth trauma","2008","29.5","1.2","9.9"
"Birth asphyxia and birth trauma","2007","29.4","1.2","9.6"
"Birth asphyxia and birth trauma","2006","29.3","1","9.4"
"Birth asphyxia and birth trauma","2005","29.2","1","9.1"
"Birth asphyxia and birth trauma","2004","28.8","0.9","8.7"
"Birth asphyxia and birth trauma","2003","28.1","0.9","8.3"
"Birth asphyxia and birth trauma","2002","27.4","0.9","8"
"Birth asphyxia and birth trauma","2001","26.7","0.9","7.3"
"Birth asphyxia and birth trauma","2000","26.3","0.9","7.5"
"Sepsis and other infectious conditions of the newborn","2015","22.1","0","7.3"
"Sepsis and other infectious conditions of the newborn","2014","22.2","0","7.3"
"Sepsis and other infectious conditions of the newborn","2013","22.3","0","7.2"
"Sepsis and other infectious conditions of the newborn","2012","22.5","0","7.2"
"Sepsis and other infectious conditions of the newborn","2011","22.6","0","7.1"
"Sepsis and other infectious conditions of the newborn","2010","22.7","0","7"
"Sepsis and other infectious conditions of the newborn","2009","22.9","0","6.9"
"Sepsis and other infectious conditions of the newborn","2008","23","0","7"
"Sepsis and other infectious conditions of the newborn","2007","22.9","0","6.9"
"Sepsis and other infectious conditions of the newborn","2006","22.6","0","6.6"
"Sepsis and other infectious conditions of the newborn","2005","21.6","0","6.2"
"Sepsis and other infectious conditions of the newborn","2004","20.3","0","5.7"
"Sepsis and other infectious conditions of the newborn","2003","18.5","0","5"
"Sepsis and other infectious conditions of the newborn","2002","17.3","0","4.6"
"Sepsis and other infectious conditions of the newborn","2001","16.2","0","4"
"Sepsis and other infectious conditions of the newborn","2000","15.3","0","4"
"Other communicable, perinatal and nutritional conditions","2015","4.7","10.9","8.8"
"Other communicable, perinatal and nutritional conditions","2014","4.7","10.9","8.8"
"Other communicable, perinatal and nutritional conditions","2013","4.7","10.9","8.9"
"Other communicable, perinatal and nutritional conditions","2012","4.7","11.1","9"
"Other communicable, perinatal and nutritional conditions","2011","4.7","11.3","9.2"
"Other communicable, perinatal and nutritional conditions","2010","4.7","10.8","8.9"
"Other communicable, perinatal and nutritional conditions","2009","4.8","10.6","8.8"
"Other communicable, perinatal and nutritional conditions","2008","4.7","10.6","8.8"
"Other communicable, perinatal and nutritional conditions","2007","4.7","9.9","8.3"
"Other communicable, perinatal and nutritional conditions","2006","4.6","8.8","7.6"
"Other communicable, perinatal and nutritional conditions","2005","4.5","8.3","7.2"
"Other communicable, perinatal and nutritional conditions","2004","4.3","7.8","6.9"
"Other communicable, perinatal and nutritional conditions","2003","4","7.7","6.7"
"Other communicable, perinatal and nutritional conditions","2002","3.8","7.9","6.8"
"Other communicable, perinatal and nutritional conditions","2001","3.7","7.2","6.4"
"Other communicable, perinatal and nutritional conditions","2000","3.5","7.5","6.4"
"Congenital anomalies","2015","5.3","3.1","3.8"
