,,"Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)"
,,"Mauritania","Mauritania","Mauritania"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0","1.8","1.1"
"HIV/AIDS","2014","0","1.8","1.1"
"HIV/AIDS","2013","0","2.2","1.3"
"HIV/AIDS","2012","0","2.1","1.3"
"HIV/AIDS","2011","0","2","1.2"
"HIV/AIDS","2010","0","1.9","1.2"
"HIV/AIDS","2009","0","2","1.2"
"HIV/AIDS","2008","0","2.1","1.2"
"HIV/AIDS","2007","0","2.1","1.2"
"HIV/AIDS","2006","0","2.1","1.2"
"HIV/AIDS","2005","0","2","1.2"
"HIV/AIDS","2004","0","1.7","1.1"
"HIV/AIDS","2003","0","1.7","1.1"
"HIV/AIDS","2002","0","1.7","1.1"
"HIV/AIDS","2001","0","1.5","1"
"HIV/AIDS","2000","0","1.5","1"
"Diarrhoeal diseases","2015","0.6","18.2","10.7"
"Diarrhoeal diseases","2014","0.6","18.9","11.2"
"Diarrhoeal diseases","2013","0.6","17.9","10.8"
"Diarrhoeal diseases","2012","0.6","18.6","11.2"
"Diarrhoeal diseases","2011","0.6","18.1","11.2"
"Diarrhoeal diseases","2010","0.6","17.4","11"
"Diarrhoeal diseases","2009","0.7","19.5","12"
"Diarrhoeal diseases","2008","0.7","19.2","11.8"
"Diarrhoeal diseases","2007","0.7","19.9","12.2"
"Diarrhoeal diseases","2006","0.8","20.7","12.7"
"Diarrhoeal diseases","2005","0.8","21.5","13.2"
"Diarrhoeal diseases","2004","0.8","19.1","12.5"
"Diarrhoeal diseases","2003","0.8","20.4","13.1"
"Diarrhoeal diseases","2002","0.8","20.9","13.4"
"Diarrhoeal diseases","2001","0.9","19.9","13.1"
"Diarrhoeal diseases","2000","0.9","22.3","14.1"
"Pertussis","2015","0.1","2","1.2"
"Pertussis","2014","0.1","2","1.2"
"Pertussis","2013","0.1","2","1.2"
"Pertussis","2012","0.1","2","1.2"
"Pertussis","2011","0.1","1.9","1.2"
"Pertussis","2010","0.1","1.8","1.1"
"Pertussis","2009","0.1","1.9","1.2"
"Pertussis","2008","0.1","1.8","1.1"
"Pertussis","2007","0.1","1.8","1.1"
"Pertussis","2006","0.1","1.7","1.1"
"Pertussis","2005","0.1","1.7","1.1"
"Pertussis","2004","0.1","1.5","1"
"Pertussis","2003","0.1","1.5","1"
"Pertussis","2002","0.1","1.5","1"
"Pertussis","2001","0.1","1.5","1"
"Pertussis","2000","0.1","1.8","1.1"
"Tetanus","2015","1.2","0","0.5"
"Tetanus","2014","1.3","0","0.6"
"Tetanus","2013","1.4","0","0.6"
"Tetanus","2012","1.4","0","0.6"
"Tetanus","2011","1.5","0","0.6"
"Tetanus","2010","1.5","0","0.6"
"Tetanus","2009","1.7","0","0.7"
"Tetanus","2008","1.9","0","0.8"
"Tetanus","2007","2.2","0","0.9"
"Tetanus","2006","2.5","0","1"
"Tetanus","2005","2.8","0","1.1"
"Tetanus","2004","2.9","0","1.1"
"Tetanus","2003","3","0","1.1"
"Tetanus","2002","3.2","0","1.2"
"Tetanus","2001","3.4","0","1.2"
"Tetanus","2000","3.7","0","1.4"
"Measles","2015","0","2.5","1.4"
"Measles","2014","0","2.3","1.4"
"Measles","2013","0","2.2","1.3"
"Measles","2012","0","1.5","0.9"
"Measles","2011","0","7","4.2"
"Measles","2010","0","12.4","7.7"
"Measles","2009","0","4.7","2.8"
"Measles","2008","0","2.4","1.5"
"Measles","2007","0","1.9","1.2"
"Measles","2006","0","1.2","0.7"
"Measles","2005","0","0.1","0.1"
"Measles","2004","0","13.5","8.6"
"Measles","2003","0","10.2","6.4"
"Measles","2002","0","10.2","6.4"
"Measles","2001","0","16.7","10.8"
"Measles","2000","0","8.9","5.5"
"Meningitis/encephalitis","2015","0","2.6","1.5"
"Meningitis/encephalitis","2014","0","2.6","1.5"
"Meningitis/encephalitis","2013","0","3.8","2.2"
"Meningitis/encephalitis","2012","0","3.8","2.3"
"Meningitis/encephalitis","2011","0","3.7","2.2"
