,,"Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)"
,,"Guinea","Guinea","Guinea"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0","0.8","0.5"
"HIV/AIDS","2014","0","0.8","0.5"
"HIV/AIDS","2013","0","1.5","1"
"HIV/AIDS","2012","0.1","2.7","1.8"
"HIV/AIDS","2011","0.1","2.7","1.9"
"HIV/AIDS","2010","0.1","2.9","2"
"HIV/AIDS","2009","0.1","2.8","2"
"HIV/AIDS","2008","0.1","2.7","1.9"
"HIV/AIDS","2007","0.1","2.8","2"
"HIV/AIDS","2006","0.1","2.9","2"
"HIV/AIDS","2005","0.1","2.9","2.1"
"HIV/AIDS","2004","0.1","2.9","2.1"
"HIV/AIDS","2003","0.1","2.7","1.9"
"HIV/AIDS","2002","0.1","2.6","1.9"
"HIV/AIDS","2001","0.1","2.3","1.7"
"HIV/AIDS","2000","0.1","2.2","1.6"
"Diarrhoeal diseases","2015","0.4","12.4","8.3"
"Diarrhoeal diseases","2014","0.4","12.5","8.5"
"Diarrhoeal diseases","2013","0.5","13","8.9"
"Diarrhoeal diseases","2012","0.5","13","9"
"Diarrhoeal diseases","2011","0.5","13.5","9.4"
"Diarrhoeal diseases","2010","0.5","14.2","9.9"
"Diarrhoeal diseases","2009","0.5","14.4","10.1"
"Diarrhoeal diseases","2008","0.5","14.1","10"
"Diarrhoeal diseases","2007","0.5","15.1","10.7"
"Diarrhoeal diseases","2006","0.6","15.3","10.8"
"Diarrhoeal diseases","2005","0.7","15.8","11.1"
"Diarrhoeal diseases","2004","0.7","16.3","11.5"
"Diarrhoeal diseases","2003","0.8","15.4","11.2"
"Diarrhoeal diseases","2002","0.8","15.6","11.4"
"Diarrhoeal diseases","2001","0.8","14.5","10.9"
"Diarrhoeal diseases","2000","0.9","14.6","11"
"Pertussis","2015","0.2","1.6","1.1"
"Pertussis","2014","0.2","1.6","1.1"
"Pertussis","2013","0.2","1.6","1.1"
"Pertussis","2012","0.2","1.6","1.1"
