,,"Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)"
,,"Guinea-Bissau","Guinea-Bissau","Guinea-Bissau"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0.1","6.3","3.5"
"HIV/AIDS","2014","0.1","6.2","3.6"
"HIV/AIDS","2013","0.1","7.8","4.6"
"HIV/AIDS","2012","0.1","8.7","5.1"
"HIV/AIDS","2011","0.1","8.8","5.3"
"HIV/AIDS","2010","0.1","8.7","5.2"
"HIV/AIDS","2009","0.1","8.3","5.1"
"HIV/AIDS","2008","0.1","7.8","4.8"
"HIV/AIDS","2007","0.1","7.1","4.4"
"HIV/AIDS","2006","0.1","6.4","4.1"
"HIV/AIDS","2005","0.1","5.7","3.7"
"HIV/AIDS","2004","0.1","3.9","2.8"
"HIV/AIDS","2003","0.1","3.1","2.3"
"HIV/AIDS","2002","0.1","3.6","2.5"
"HIV/AIDS","2001","0.1","3.2","2.2"
"HIV/AIDS","2000","0.1","2.5","1.7"
"Diarrhoeal diseases","2015","0.5","16.6","9.5"
"Diarrhoeal diseases","2014","0.5","17.1","10"
"Diarrhoeal diseases","2013","0.6","17.6","10.4"
"Diarrhoeal diseases","2012","0.6","17.9","10.7"
"Diarrhoeal diseases","2011","0.6","18.7","11.3"
"Diarrhoeal diseases","2010","0.6","19.6","12"
"Diarrhoeal diseases","2009","0.7","20.5","12.6"
"Diarrhoeal diseases","2008","0.7","19.6","12.3"
"Diarrhoeal diseases","2007","0.8","20.8","13.1"
"Diarrhoeal diseases","2006","0.9","21.1","13.6"
"Diarrhoeal diseases","2005","0.9","21.3","14.1"
"Diarrhoeal diseases","2004","1","17","12.3"
"Diarrhoeal diseases","2003","1","15.7","11.8"
"Diarrhoeal diseases","2002","1","21.3","14.8"
"Diarrhoeal diseases","2001","1","22.1","15.2"
"Diarrhoeal diseases","2000","1","20.3","14.4"
"Pertussis","2015","0.1","1.5","0.9"
"Pertussis","2014","0.1","1.5","0.9"
"Pertussis","2013","0.1","1.5","0.9"
"Pertussis","2012","0.1","1.5","0.9"
"Pertussis","2011","0.1","1.5","0.9"
"Pertussis","2010","0.1","1.4","0.9"
"Pertussis","2009","0.1","1.3","0.8"
"Pertussis","2008","0.1","1.3","0.9"
"Pertussis","2007","0.1","1.3","0.8"
"Pertussis","2006","0.1","1.2","0.8"
"Pertussis","2005","0.1","1.1","0.8"
"Pertussis","2004","0.1","0.8","0.6"
"Pertussis","2003","0.1","0.7","0.6"
"Pertussis","2002","0.1","1","0.7"
"Pertussis","2001","0.1","1","0.7"
"Pertussis","2000","0.1","0.9","0.6"
"Tetanus","2015","1.9","0","0.8"
"Tetanus","2014","2","0","0.9"
"Tetanus","2013","2.2","0","0.9"
"Tetanus","2012","2.3","0","1"
"Tetanus","2011","2.5","0","1"
"Tetanus","2010","2.5","0","1"
"Tetanus","2009","2.5","0","1"
"Tetanus","2008","2.6","0","1"
"Tetanus","2007","3.1","0","1.2"
