,,"Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)"
,,"Liberia","Liberia","Liberia"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0","1.9","1.2"
"HIV/AIDS","2014","0","1.8","1.2"
"HIV/AIDS","2013","0","2.1","1.4"
"HIV/AIDS","2012","0","2.2","1.5"
"HIV/AIDS","2011","0.1","2.4","1.7"
"HIV/AIDS","2010","0.1","2.5","1.8"
"HIV/AIDS","2009","0.1","3.3","2.3"
"HIV/AIDS","2008","0.1","3.5","2.5"
"HIV/AIDS","2007","0.1","3.7","2.6"
"HIV/AIDS","2006","0.1","3.6","2.6"
"HIV/AIDS","2005","0.1","3.6","2.6"
"HIV/AIDS","2004","0.1","3.2","2.4"
"HIV/AIDS","2003","0.1","3","2.2"
"HIV/AIDS","2002","0.1","2.7","2"
"HIV/AIDS","2001","0.1","2.1","1.6"
"HIV/AIDS","2000","0.1","1.9","1.5"
"Diarrhoeal diseases","2015","0.4","13.5","8.9"
"Diarrhoeal diseases","2014","0.4","13.5","9.1"
"Diarrhoeal diseases","2013","0.4","13.8","9.4"
"Diarrhoeal diseases","2012","0.4","14.4","9.9"
"Diarrhoeal diseases","2011","0.4","13.7","9.7"
"Diarrhoeal diseases","2010","0.4","12.8","9.3"
"Diarrhoeal diseases","2009","0.5","15.6","11"
"Diarrhoeal diseases","2008","0.5","15.8","11.2"
"Diarrhoeal diseases","2007","0.6","14.7","10.6"
"Diarrhoeal diseases","2006","0.7","14.8","10.7"
"Diarrhoeal diseases","2005","0.8","14.9","10.8"
"Diarrhoeal diseases","2004","0.8","14.4","10.7"
"Diarrhoeal diseases","2003","0.9","14.3","10.8"
"Diarrhoeal diseases","2002","1","14.5","11.1"
"Diarrhoeal diseases","2001","1.2","12.7","10.2"
"Diarrhoeal diseases","2000","1.3","13.3","10.7"
"Pertussis","2015","0.2","2","1.4"
"Pertussis","2014","0.2","2","1.4"
"Pertussis","2013","0.2","2","1.4"
"Pertussis","2012","0.2","2","1.4"
"Pertussis","2011","0.2","1.8","1.3"
"Pertussis","2010","0.2","1.6","1.2"
"Pertussis","2009","0.2","1.7","1.2"
"Pertussis","2008","0.2","1.6","1.2"
"Pertussis","2007","0.2","1.6","1.2"
