,,"Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)"
,,"Gambia","Gambia","Gambia"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0.1","4.4","2.5"
"HIV/AIDS","2014","0.1","4.4","2.5"
"HIV/AIDS","2013","0","3.9","2.2"
"HIV/AIDS","2012","0","3.4","2"
"HIV/AIDS","2011","0.1","4.1","2.4"
"HIV/AIDS","2010","0.1","4.5","2.6"
"HIV/AIDS","2009","0.1","5.6","3.3"
"HIV/AIDS","2008","0.1","5.9","3.5"
"HIV/AIDS","2007","0.1","5.8","3.5"
"HIV/AIDS","2006","0.1","5.5","3.3"
"HIV/AIDS","2005","0.1","5.2","3.2"
"HIV/AIDS","2004","0.1","4.8","2.9"
"HIV/AIDS","2003","0.1","4.2","2.6"
"HIV/AIDS","2002","0.1","3.7","2.3"
"HIV/AIDS","2001","0.1","3.2","2"
"HIV/AIDS","2000","0","2.6","1.7"
"Diarrhoeal diseases","2015","0.4","15.6","8.8"
"Diarrhoeal diseases","2014","0.4","16.1","9.1"
"Diarrhoeal diseases","2013","0.4","18.7","10.6"
"Diarrhoeal diseases","2012","0.4","19.4","11.1"
"Diarrhoeal diseases","2011","0.4","19.5","11.3"
"Diarrhoeal diseases","2010","0.4","19.9","11.7"
"Diarrhoeal diseases","2009","0.4","19.1","11.3"
"Diarrhoeal diseases","2008","0.4","19.7","11.8"
"Diarrhoeal diseases","2007","0.4","20.1","12.2"
"Diarrhoeal diseases","2006","0.4","20.9","12.7"
"Diarrhoeal diseases","2005","0.4","21.6","13.2"
"Diarrhoeal diseases","2004","0.4","22.3","13.7"
"Diarrhoeal diseases","2003","0.4","22.3","14"
"Diarrhoeal diseases","2002","0.4","22.9","14.5"
"Diarrhoeal diseases","2001","0.4","22.7","14.6"
"Diarrhoeal diseases","2000","0.4","23.1","15"
"Pertussis","2015","0.2","2.1","1.2"
"Pertussis","2014","0.2","2.1","1.2"
"Pertussis","2013","0.2","2.1","1.3"
"Pertussis","2012","0.2","2.1","1.3"
"Pertussis","2011","0.1","2","1.2"
"Pertussis","2010","0.1","1.9","1.2"
"Pertussis","2009","0.1","1.8","1.1"
"Pertussis","2008","0.1","1.8","1.1"
"Pertussis","2007","0.1","1.7","1.1"
"Pertussis","2006","0.1","1.6","1"
"Pertussis","2005","0.1","1.6","1"
"Pertussis","2004","0.1","1.5","1"
"Pertussis","2003","0.1","1.4","0.9"
"Pertussis","2002","0.1","1.4","0.9"
"Pertussis","2001","0.1","1.3","0.9"
"Pertussis","2000","0.1","1.3","0.9"
"Tetanus","2015","0.9","0","0.4"
"Tetanus","2014","0.9","0","0.4"
"Tetanus","2013","0.9","0","0.4"
"Tetanus","2012","0.9","0","0.4"
"Tetanus","2011","0.9","0","0.4"
"Tetanus","2010","0.9","0","0.4"
"Tetanus","2009","0.9","0","0.4"
"Tetanus","2008","1","0","0.4"
"Tetanus","2007","1","0","0.4"
"Tetanus","2006","1","0","0.4"
"Tetanus","2005","1.1","0","0.4"
"Tetanus","2004","1.2","0","0.5"
"Tetanus","2003","1.2","0","0.5"
"Tetanus","2002","1.3","0","0.5"
"Tetanus","2001","1.4","0","0.5"
"Tetanus","2000","1.5","0","0.5"
"Measles","2015","0","0.4","0.2"
"Measles","2014","0","0.5","0.3"
"Measles","2013","0","0.5","0.3"
"Measles","2012","0","0.4","0.2"
"Measles","2011","0","1.2","0.7"
"Measles","2010","0","1","0.6"
"Measles","2009","0","0.8","0.4"
"Measles","2008","0","0.5","0.3"
"Measles","2007","0","1","0.6"
"Measles","2006","0","0.7","0.4"
"Measles","2005","0","0.4","0.3"
"Measles","2004","0","0.1","0"
"Measles","2003","0","2.6","1.6"
"Measles","2002","0","2.2","1.4"
"Measles","2001","0","3.5","2.2"
"Measles","2000","0","6.7","4.3"
"Meningitis/encephalitis","2015","0","2.7","1.5"
"Meningitis/encephalitis","2014","0","2.7","1.5"
"Meningitis/encephalitis","2013","0","2.6","1.5"
"Meningitis/encephalitis","2012","0","3.8","2.2"
"Meningitis/encephalitis","2011","0","2.9","1.7"
"Meningitis/encephalitis","2010","0","3.1","1.8"
"Meningitis/encephalitis","2009","0","4.1","2.4"
"Meningitis/encephalitis","2008","0","4.1","2.4"
"Meningitis/encephalitis","2007","0","4.1","2.4"
"Meningitis/encephalitis","2006","0","4.1","2.4"
"Meningitis/encephalitis","2005","0","4","2.4"
"Meningitis/encephalitis","2004","0","4","2.5"
"Meningitis/encephalitis","2003","0","3.9","2.4"
"Meningitis/encephalitis","2002","0","3.9","2.5"
"Meningitis/encephalitis","2001","0","5.7","3.6"
"Meningitis/encephalitis","2000","0","3.6","2.3"
"Malaria","2015","0","6.4","3.5"
"Malaria","2014","0","6.4","3.6"
"Malaria","2013","0","6.3","3.6"
"Malaria","2012","0","6.3","3.6"
"Malaria","2011","0","6.3","3.6"
"Malaria","2010","0","6.3","3.6"
"Malaria","2009","0","5.9","3.5"
"Malaria","2008","0","6.1","3.6"
"Malaria","2007","0","6.3","3.8"
"Malaria","2006","0","6.8","4.1"
"Malaria","2005","0","7.4","4.4"
"Malaria","2004","0","8.2","5"
"Malaria","2003","0","9.2","5.7"
"Malaria","2002","0","10.3","6.4"
"Malaria","2001","0","10.9","6.9"
"Malaria","2000","0","11.8","7.6"
"Acute lower respiratory infections","2015","6.2","19.9","13.8"
"Acute lower respiratory infections","2014","6.2","19.9","13.8"
"Acute lower respiratory infections","2013","6.3","19.4","13.7"
"Acute lower respiratory infections","2012","6.3","19.1","13.5"
"Acute lower respiratory infections","2011","6.4","20.2","14.3"
"Acute lower respiratory infections","2010","6.4","20.8","14.8"
"Acute lower respiratory infections","2009","6.4","23.9","16.7"
"Acute lower respiratory infections","2008","6.4","23.9","16.7"
"Acute lower respiratory infections","2007","6.4","23.8","16.8"
"Acute lower respiratory infections","2006","6.4","23.6","16.8"
"Acute lower respiratory infections","2005","6.4","23.5","16.7"
"Acute lower respiratory infections","2004","6.4","23.5","16.8"
"Acute lower respiratory infections","2003","6.4","22.7","16.5"
"Acute lower respiratory infections","2002","6.5","22.6","16.5"
"Acute lower respiratory infections","2001","6.5","21.6","16.1"
"Acute lower respiratory infections","2000","6.5","20.9","15.8"
"Prematurity","2015","28.5","4","14.9"
"Prematurity","2014","28.2","3.9","14.7"
"Prematurity","2013","27.8","3.8","14.3"
"Prematurity","2012","27.1","3.8","13.9"
"Prematurity","2011","26.6","3.6","13.4"
"Prematurity","2010","26.3","3.5","13.1"
"Prematurity","2009","26.3","3.3","12.8"
"Prematurity","2008","26.3","3.2","12.7"
"Prematurity","2007","26.3","3.2","12.4"
"Prematurity","2006","26.2","3.1","12.3"
"Prematurity","2005","26.2","3.1","12.2"
"Prematurity","2004","26","3","12.1"
"Prematurity","2003","25.9","2.9","11.6"
"Prematurity","2002","25.8","2.8","11.5"
"Prematurity","2001","26","2.7","11.2"
"Prematurity","2000","25.9","2.6","10.9"
"Birth asphyxia and birth trauma","2015","28.6","2","13.9"
"Birth asphyxia and birth trauma","2014","28.8","2","13.9"
"Birth asphyxia and birth trauma","2013","29","2","13.9"
"Birth asphyxia and birth trauma","2012","29.3","1.9","13.8"
"Birth asphyxia and birth trauma","2011","29.6","1.9","13.7"
"Birth asphyxia and birth trauma","2010","29.8","1.8","13.6"
"Birth asphyxia and birth trauma","2009","29.9","1.7","13.4"
"Birth asphyxia and birth trauma","2008","29.9","1.6","13.2"
"Birth asphyxia and birth trauma","2007","29.9","1.6","13"
"Birth asphyxia and birth trauma","2006","29.9","1.6","12.9"
"Birth asphyxia and birth trauma","2005","30","1.5","12.8"
"Birth asphyxia and birth trauma","2004","30","1.5","12.7"
"Birth asphyxia and birth trauma","2003","30.1","1.4","12.3"
"Birth asphyxia and birth trauma","2002","30.2","1.4","12.2"
"Birth asphyxia and birth trauma","2001","30.2","1.3","11.9"
"Birth asphyxia and birth trauma","2000","30.3","1.3","11.7"
"Sepsis and other infectious conditions of the newborn","2015","20.4","0","9.1"
"Sepsis and other infectious conditions of the newborn","2014","20.7","0","9.2"
"Sepsis and other infectious conditions of the newborn","2013","21","0","9.2"
"Sepsis and other infectious conditions of the newborn","2012","21.4","0","9.3"
"Sepsis and other infectious conditions of the newborn","2011","21.6","0","9.2"
"Sepsis and other infectious conditions of the newborn","2010","21.9","0","9.2"
"Sepsis and other infectious conditions of the newborn","2009","22","0","9.1"
"Sepsis and other infectious conditions of the newborn","2008","22.4","0","9.1"
"Sepsis and other infectious conditions of the newborn","2007","22.6","0","9.1"
"Sepsis and other infectious conditions of the newborn","2006","22.9","0","9.1"
"Sepsis and other infectious conditions of the newborn","2005","23.2","0","9.2"
"Sepsis and other infectious conditions of the newborn","2004","23.5","0","9.2"
"Sepsis and other infectious conditions of the newborn","2003","23.6","0","9"
"Sepsis and other infectious conditions of the newborn","2002","23.7","0","8.9"
"Sepsis and other infectious conditions of the newborn","2001","23.7","0","8.7"
"Sepsis and other infectious conditions of the newborn","2000","23.8","0","8.5"
"Other communicable, perinatal and nutritional conditions","2015","4.6","16.4","11.1"
"Other communicable, perinatal and nutritional conditions","2014","4.6","16.2","11.1"
"Other communicable, perinatal and nutritional conditions","2013","4.7","15.8","10.9"
"Other communicable, perinatal and nutritional conditions","2012","4.9","15.5","10.9"
"Other communicable, perinatal and nutritional conditions","2011","5","16","11.3"
"Other communicable, perinatal and nutritional conditions","2010","5.1","15.7","11.2"
"Other communicable, perinatal and nutritional conditions","2009","5","14.3","10.5"
"Other communicable, perinatal and nutritional conditions","2008","5","14.2","10.4"
"Other communicable, perinatal and nutritional conditions","2007","5","13.9","10.3"
"Other communicable, perinatal and nutritional conditions","2006","4.9","13.8","10.3"
"Other communicable, perinatal and nutritional conditions","2005","4.9","13.7","10.2"
"Other communicable, perinatal and nutritional conditions","2004","4.9","13.5","10.1"
"Other communicable, perinatal and nutritional conditions","2003","4.9","12.9","9.9"
"Other communicable, perinatal and nutritional conditions","2002","4.9","12.7","9.8"
"Other communicable, perinatal and nutritional conditions","2001","4.8","12","9.4"
"Other communicable, perinatal and nutritional conditions","2000","4.8","11.7","9.2"
"Congenital anomalies","2015","9.2","6.4","7.6"
"Congenital anomalies","2014","8.9","6.3","7.5"
"Congenital anomalies","2013","8.7","6.1","7.2"
"Congenital anomalies","2012","8.4","5.9","7"
"Congenital anomalies","2011","8.2","5.7","6.7"
"Congenital anomalies","2010","7.9","5.5","6.5"
"Congenital anomalies","2009","7.6","5","6.1"
"Congenital anomalies","2008","7.3","4.9","5.9"
"Congenital anomalies","2007","7","4.8","5.7"
"Congenital anomalies","2006","6.7","4.6","5.5"
"Congenital anomalies","2005","6.5","4.5","5.3"
"Congenital anomalies","2004","6.2","4.4","5.1"
"Congenital anomalies","2003","6","4.2","4.9"
"Congenital anomalies","2002","5.8","4","4.7"
"Congenital anomalies","2001","5.6","3.8","4.4"
"Congenital anomalies","2000","5.4","3.6","4.3"
"Other noncommunicable diseases","2015","0.1","7.9","4.5"
"Other noncommunicable diseases","2014","0.1","7.8","4.4"
"Other noncommunicable diseases","2013","0.2","7.6","4.3"
"Other noncommunicable diseases","2012","0.2","7.4","4.3"
"Other noncommunicable diseases","2011","0.2","6.1","3.5"
"Other noncommunicable diseases","2010","0.2","5.9","3.5"
"Other noncommunicable diseases","2009","0.2","5.4","3.2"
"Other noncommunicable diseases","2008","0.2","5.3","3.2"
"Other noncommunicable diseases","2007","0.2","5.2","3.2"
"Other noncommunicable diseases","2006","0.1","5.1","3.1"
"Other noncommunicable diseases","2005","0.1","5.1","3.1"
"Other noncommunicable diseases","2004","0.1","5","3.1"
"Other noncommunicable diseases","2003","0.1","4.7","3"
"Other noncommunicable diseases","2002","0.1","4.6","2.9"
"Other noncommunicable diseases","2001","0.1","4.4","2.8"
"Other noncommunicable diseases","2000","0.1","4.2","2.8"
"Injuries","2015","0.9","11.7","6.9"
"Injuries","2014","0.9","11.6","6.8"
"Injuries","2013","0.9","11.2","6.7"
"Injuries","2012","0.9","10.9","6.6"
"Injuries","2011","1","10.4","6.4"
"Injuries","2010","1","10.1","6.3"
"Injuries","2009","1","9.2","5.8"
"Injuries","2008","1","8.9","5.7"
"Injuries","2007","1","8.7","5.6"
"Injuries","2006","1","8.5","5.5"
"Injuries","2005","1.1","8.3","5.4"
"Injuries","2004","1.1","8.1","5.3"
"Injuries","2003","1.1","7.6","5.1"
"Injuries","2002","1.1","7.4","5"
"Injuries","2001","1.1","6.9","4.8"
"Injuries","2000","1.1","6.6","4.6"
